N;Grupo;Animal;Dosagem;PA_mmHg;Desvio_PA;Ptr_cmH2O;Desvio_Ptr;Perturbacao
50;SHR 17 Semanas Tratados;1;30 ug/kg;544,491;1,024,067,214;3,590,310,574;0.891150673;5
51;SHR 17 Semanas Tratados;1;30 ug/kg;5,605,622,449;1,015,511,821;3,614,492,689;0.841825712;6
52;SHR 17 Semanas Tratados;1;30 ug/kg;5,741,916,667;9,939,867,908;3,585,854,308;0.81731448;7
53;SHR 17 Semanas Tratados;1;30 ug/kg;590,363;9,505,685,875;3,505,917,102;0.804922941;8
54;SHR 17 Semanas Tratados;1;30 ug/kg;616,683;9,504,132,653;3,569,562,663;0.79201975;9
55;SHR 17 Semanas Tratados;1;30 ug/kg;630,322;9,296,068,418;3,522,529,896;0.78827255;10
56;SHR 17 Semanas Tratados;1;30 ug/kg;653,286;9,335,597,455;3,585,097,781;0.797052162;11
57;SHR 17 Semanas Tratados;1;30 ug/kg;6,686,816,327;9,194,012,097;3,512,802,872;0.788416522;12
58;SHR 17 Semanas Tratados;1;30 ug/kg;6,734,074,534;8,994,511,283;352,898,329;0.780476147;13
59;SHR 17 Semanas Tratados;1;30 ug/kg;694,894,898;914,392,293;355,084,752;0.785930297;14
60;SHR 17 Semanas Tratados;1;30 ug/kg;6,980,742,268;9,328,616,957;3,553,213,838;0.789161777;15
61;SHR 17 Semanas Tratados;1;100 ug/kg;4,208,038,688;9,948,437,649;4,830,235,488;3,624,825,569;1
62;SHR 17 Semanas Tratados;1;100 ug/kg;3,926,248,941;918,189,265;570,107,621;276,406,114;2
63;SHR 17 Semanas Tratados;1;100 ug/kg;4,152,165,851;1,192,817,521;4,987,547,794;1,987,812,353;3
64;SHR 17 Semanas Tratados;1;100 ug/kg;392,324,875;9,435,488,114;4,302,694,961;1,429,724,768;4
65;SHR 17 Semanas Tratados;1;100 ug/kg;3,921,550,837;6,949,494,505;4,102,380,274;1,173,770,361;5
66;SHR 17 Semanas Tratados;1;100 ug/kg;474,134,339;1,130,315,939;3,846,775,979;1,033,241,165;6
67;SHR 17 Semanas Tratados;1;100 ug/kg;4,862,658,854;1,067,402,313;3,852,830,548;0.948203215;7
68;SHR 17 Semanas Tratados;1;100 ug/kg;5,040,548,013;1,142,552,971;3,815,216,449;0.905423869;8
69;SHR 17 Semanas Tratados;1;100 ug/kg;5,013,533,163;1,128,179,694;3,746,297,911;0.892913901;9
70;SHR 17 Semanas Tratados;1;100 ug/kg;4,912,394,552;9,980,472,541;3,735,905,614;0.870772328;10
71;SHR 17 Semanas Tratados;1;100 ug/kg;515,816;1,104,357,684;3,742,371,279;0.85773874;11
72;SHR 17 Semanas Tratados;1;100 ug/kg;5,300,369,451;1,141,222,461;3,701,720,496;0.852323239;12
73;SHR 17 Semanas Tratados;1;100 ug/kg;5,359,104,167;1,086,975,635;3,670,854,178;0.847781873;13
74;SHR 17 Semanas Tratados;1;100 ug/kg;551,615;1,098,735,291;3,713,187,859;0.839996045;14
75;SHR 17 Semanas Tratados;1;100 ug/kg;563,075;1,095,055,336;3,697,874,674;0.842164938;15
76;SHR 17 Semanas Tratados;2;PBS;879,173;832,004,126;2,922,853,525;0.628932278;1
77;SHR 17 Semanas Tratados;2;PBS;1,017,242;7,079,021,102;2,920,813,708;0.640606404;2
78;SHR 17 Semanas Tratados;2;PBS;1,011,771;6,977,189,283;2,862,562,272;0.644596338;3
79;SHR 17 Semanas Tratados;2;PBS;979,948;718,173,996;2,889,671,802;0.654093641;4
80;SHR 17 Semanas Tratados;2;PBS;972,764;6,976,279,365;2,907,952,742;0.648589942;5
81;SHR 17 Semanas Tratados;2;PBS;92,442;7,136,749,394;2,908,860,966;0.647614912;6
82;SHR 17 Semanas Tratados;2;PBS;9,191,646,465;7,314,127,972;2,907,877,807;0.648516795;7
83;SHR 17 Semanas Tratados;2;PBS;89.66;7,543,807,013;2,865,456,397;0.643630573;8
84;SHR 17 Semanas Tratados;2;PBS;891,972;7,310,831,328;2,871,013,316;0.641422348;9
85;SHR 17 Semanas Tratados;2;PBS;876,456;7,499,188,955;2,879,205,614;0.651234004;10
86;SHR 17 Semanas Tratados;2;PBS;8,832,371,443;7,807,564,212;2,887,822,324;0.653910101;11
