N;Grupo;Animal;Dosagem;PA_mmHg;Desvio_PA;Ptr_cmH2O;Desvio_Ptr;Perturbacao
644;SHR 17 Semanas Tratados;9;10 ug/kg;7,790,262,626;9,021,528,287;3,600,289,556;0.764551329;14
645;SHR 17 Semanas Tratados;9;10 ug/kg;785,126,913;900,350,449;3,638,481,201;0.756482862;15
646;SHR 17 Semanas Tratados;9;30 ug/kg;5,604,816,211;1,360,878,161;3,686,247,258;0.853074102;1
647;SHR 17 Semanas Tratados;9;30 ug/kg;5,347,968,685;7,767,575,913;3,811,541,906;1,096,338,677;2
648;SHR 17 Semanas Tratados;9;30 ug/kg;597,007;115,503,121;3,865,072,193;1,000,004,782;3
649;SHR 17 Semanas Tratados;9;30 ug/kg;6,161,806,122;1,085,724,051;3,759,975,326;0.871678997;4
650;SHR 17 Semanas Tratados;9;30 ug/kg;629,441;112,074,318;3,655,660,836;0.826746814;5
651;SHR 17 Semanas Tratados;9;30 ug/kg;6,335,858,586;1,098,784,338;3,639,088,903;0.79804911;6
652;SHR 17 Semanas Tratados;9;30 ug/kg;646,676;1,065,799,459;3,691,760,052;0.786212873;7
653;SHR 17 Semanas Tratados;9;30 ug/kg;661,145;1,065,241,684;3,629,414,621;0.78183945;8
654;SHR 17 Semanas Tratados;9;30 ug/kg;676,945;1,038,351,796;369,046,423;0.782130469;9
655;SHR 17 Semanas Tratados;9;30 ug/kg;6,819,151,515;1,018,388,917;3,654,753,264;0.770928979;10
656;SHR 17 Semanas Tratados;9;30 ug/kg;691,313;9,984,121,905;3,657,367,493;0.781250726;11
657;SHR 17 Semanas Tratados;9;30 ug/kg;696,517;1,002,041,291;3,686,377,023;0.77569065;12
658;SHR 17 Semanas Tratados;9;30 ug/kg;7,040,113,328;101,539,615;3,698,433,943;0.778416063;13
659;SHR 17 Semanas Tratados;9;30 ug/kg;714,924;993,872,826;363,735,953;0.770439854;14
660;SHR 17 Semanas Tratados;9;30 ug/kg;725,188;9,914,372,516;354,029,517;0.784090824;15
661;SHR 17 Semanas Tratados;9;100 ug/kg;5,595,001,395;1,056,308,352;3,858,549,164;1,328,288,058;1
662;SHR 17 Semanas Tratados;9;100 ug/kg;553,364;1,249,353,186;529,944,208;2,710,915,222;2
663;SHR 17 Semanas Tratados;9;100 ug/kg;532,550,785;9,758,745,128;508,001,953;2,043,292,568;3
664;SHR 17 Semanas Tratados;9;100 ug/kg;579,288;1,031,594,806;4,332,328,721;1,378,195,749;4
665;SHR 17 Semanas Tratados;9;100 ug/kg;599,468,913;9,551,198,912;3,991,374,021;1,072,009,274;5
666;SHR 17 Semanas Tratados;9;100 ug/kg;6,109,555,556;1,066,242,776;3,807,925,587;0.946268995;6
667;SHR 17 Semanas Tratados;9;100 ug/kg;6,134,680,412;103,800,693;3,725,155,483;0.879355783;7
668;SHR 17 Semanas Tratados;9;100 ug/kg;631,487;1,039,337,878;3,732,253,394;0.844130049;8
669;SHR 17 Semanas Tratados;9;100 ug/kg;659,033;9,806,188,322;3,744,600,261;0.838203234;9
670;SHR 17 Semanas Tratados;9;100 ug/kg;685,548;9,296,788,137;3,688,585,248;0.815888055;10
671;SHR 17 Semanas Tratados;9;100 ug/kg;727,276;8,751,732,656;3,775,603,394;0.809664766;11
672;SHR 17 Semanas Tratados;9;100 ug/kg;7,644,989,899;8,242,280,927;3,692,434,073;0.809678563;12
673;SHR 17 Semanas Tratados;9;100 ug/kg;80.38;7,969,360,518;3,730,530,418;0.805118933;13
674;SHR 17 Semanas Tratados;9;100 ug/kg;849,387;7,896,990,944;3,717,074,151;0.804490714;14
675;SHR 17 Semanas Tratados;9;100 ug/kg;9,039,282,828;747,381,716;3,672,005,352;0.805219292;15
676;SHR 17 Semanas Tratados;10;PBS;66,159;1,357,603,842;3,266,849,347;0.713018238;1
677;SHR 17 Semanas Tratados;10;PBS;681,361;1,364,230,896;3,266,698,825;0.718142579;2
678;SHR 17 Semanas Tratados;10;PBS;697,356;1,333,709,767;3,228,783,681;0.729966993;3
679;SHR 17 Semanas Tratados;10;PBS;705,872;13,556,142;3,201,998,956;0.721874774;4
680;SHR 17 Semanas Tratados;10;PBS;710,537;1,346,307,068;3,174,244,256;0.725597057;5
681;SHR 17 Semanas Tratados;10;PBS;716,774;1,356,887,783;3,196,360,444;0.72801157;6
682;SHR 17 Semanas Tratados;10;PBS;718,293;1,347,191,334;3,166,938,903;0.72649828;7
683;SHR 17 Semanas Tratados;10;PBS;72,106;1,337,194,478;3,231,897,258;0.728159826;8
684;SHR 17 Semanas Tratados;10;PBS;72,485;1,355,810,984;3,138,173,107;0.732899403;9
685;SHR 17 Semanas Tratados;10;PBS;7,218,181,818;1,354,749,757;3,228,804,308;0.730793286;10
686;SHR 17 Semanas Tratados;10;PBS;723,183;1,377,065,509;3,259,456,919;0.729974533;11
687;SHR 17 Semanas Tratados;10;PBS;725,811;1,362,765,807;3,153,923,629;0.736160836;12
688;SHR 17 Semanas Tratados;10;PBS;727,159;1,370,682,128;3,198,131,462;0.728696279;13
689;SHR 17 Semanas Tratados;10;PBS;721,291;1,394,744,364;326,675,718;0.729743319;14
690;SHR 17 Semanas Tratados;10;PBS;728,392;1,374,722,368;3,200,636,684;0.73811279;15
691;SHR 17 Semanas Tratados;10;3 ug/kg;670,226;1,347,637,751;3,113,996,867;0.73753008;1
692;SHR 17 Semanas Tratados;10;3 ug/kg;685,341;1,284,634,422;3,183,153,916;0.73450991;2
693;SHR 17 Semanas Tratados;10;3 ug/kg;696,955;1,264,399,265;3,146,997,258;0.732094649;3
694;SHR 17 Semanas Tratados;10;3 ug/kg;7,060,959,184;1,229,915,427;3,188,340,731;0.726220498;4
695;SHR 17 Semanas Tratados;10;3 ug/kg;740,184;1,284,673,945;3,214,935,901;0.738005246;5
696;SHR 17 Semanas Tratados;10;3 ug/kg;7,662,818,182;1,231,185,387;3,111,658,616;0.742635546;6
697;SHR 17 Semanas Tratados;10;3 ug/kg;7,934,525,253;1,212,289,311;3,204,864,621;0.748281502;7
698;SHR 17 Semanas Tratados;10;3 ug/kg;823,708;1,218,316,015;3,193,792,559;0.738092426;8
699;SHR 17 Semanas Tratados;10;3 ug/kg;849,561;1,162,013,056;3,118,432,507;0.743227563;9
700;SHR 17 Semanas Tratados;10;3 ug/kg;870,545;1,155,651,247;3,148,119,713;0.744439933;10
701;SHR 17 Semanas Tratados;10;3 ug/kg;890,494;1,167,474,013;3,146,653,003;0.750098195;11
702;SHR 17 Semanas Tratados;10;3 ug/kg;900,224;1,140,390,595;3,240,457,702;0.747749525;12
703;SHR 17 Semanas Tratados;10;3 ug/kg;915,971;1,139,599,729;3,169,086,031;0.740469507;13
704;SHR 17 Semanas Tratados;10;3 ug/kg;92,171;1,133,128,194;3,229,355,352;0.747052318;14
705;SHR 17 Semanas Tratados;10;3 ug/kg;927,186;1,130,856,831;3,200,655,614;0.743414844;15
706;SHR 17 Semanas Tratados;10;10 ug/kg;6,072,914,762;1,144,047,523;3,243,719,974;0.760698501;1
707;SHR 17 Semanas Tratados;10;10 ug/kg;629,585;1,340,370,448;3,170,527,023;0.758553767;2
708;SHR 17 Semanas Tratados;10;10 ug/kg;6,335,525,253;1,293,136,523;3,172,086,684;0.744267392;3
709;SHR 17 Semanas Tratados;10;10 ug/kg;643,901;1,293,329,471;3,231,798,956;0.74939832;4
710;SHR 17 Semanas Tratados;10;10 ug/kg;657,113;1,249,687,942;3,138,924,674;0.748016745;5
711;SHR 17 Semanas Tratados;10;10 ug/kg;677,270,234;1,165,741,103;3,232,205,222;0.749483431;6
712;SHR 17 Semanas Tratados;10;10 ug/kg;715,463;1,167,993,347;3,197,461,488;0.751205377;7
713;SHR 17 Semanas Tratados;10;10 ug/kg;7,377,188,161;1,027,839,084;315,049,295;0.748122605;8
714;SHR 17 Semanas Tratados;10;10 ug/kg;7,946,686,869;1,128,798,121;3,157,518,799;0.749315577;9
715;SHR 17 Semanas Tratados;10;10 ug/kg;835,263;1,073,565,358;3,186,245,692;0.754791947;10
716;SHR 17 Semanas Tratados;10;10 ug/kg;868,038;1,050,124,858;3,243,608,877;0.752535499;11
717;SHR 17 Semanas Tratados;10;10 ug/kg;901,001;1,031,813,902;3,145,967,232;0.756440455;12
718;SHR 17 Semanas Tratados;10;10 ug/kg;925,572;1,015,974,042;3,235,355,483;0.755594505;13
719;SHR 17 Semanas Tratados;10;10 ug/kg;9,509,418,367;9,924,852,895;3,161,747,128;0.757912128;14
720;SHR 17 Semanas Tratados;10;10 ug/kg;963,564;1,011,584,211;3,228,712,141;0.753958617;15
721;SHR 17 Semanas Tratados;10;30 ug/kg;55,485,925;1,141,471,183;3,386,312,245;1,055,526,253;1
722;SHR 17 Semanas Tratados;10;30 ug/kg;5,544,153,061;1,347,869,754;3,471,710,901;1,103,081,317;2
723;SHR 17 Semanas Tratados;10;30 ug/kg;557,232;1,180,318,121;3,340,149,869;0.87927922;3
724;SHR 17 Semanas Tratados;10;30 ug/kg;5,743,218,622;1,112,623,617;3,301,206,005;0.812050953;4
725;SHR 17 Semanas Tratados;10;30 ug/kg;594,118;1,117,946,732;3,279,413,055;0.794943159;5
726;SHR 17 Semanas Tratados;10;30 ug/kg;612,487;1,049,311,555;3,203,075,718;0.775733564;6
727;SHR 17 Semanas Tratados;10;30 ug/kg;638,543;1,059,198,213;3,283,296,475;0.774599886;7
728;SHR 17 Semanas Tratados;10;30 ug/kg;6,612,949,485;9,590,306,801;3,244,036,684;0.765986092;8
729;SHR 17 Semanas Tratados;10;30 ug/kg;6,913,038,684;8,863,072,445;3,181,647,128;0.770936351;9
730;SHR 17 Semanas Tratados;10;30 ug/kg;7,132,976,286;8,901,531,684;3,164,857,572;0.77137006;10
731;SHR 17 Semanas Tratados;10;30 ug/kg;7,480,874,857;9,470,260,705;3,201,913,708;0.772792062;11
732;SHR 17 Semanas Tratados;10;30 ug/kg;7,715,505,051;9,442,266,934;3,214,151,567;0.779602705;12
733;SHR 17 Semanas Tratados;10;30 ug/kg;797,482;9,362,848,395;3,238,915,013;0.775738251;13
734;SHR 17 Semanas Tratados;10;30 ug/kg;8,054,819,204;8,215,462,028;316,239,295;0.769612973;14
735;SHR 17 Semanas Tratados;10;30 ug/kg;8,344,444,444;9,255,969,306;3,252,605,875;0.77504855;15
736;SHR 17 Semanas Tratados;10;100 ug/kg;5,176,543,752;1,238,763,284;3,830,115,844;2,944,423,345;1
737;SHR 17 Semanas Tratados;10;100 ug/kg;4,486,314,874;1,041,301,087;5,520,617,467;2,812,096,556;2
738;SHR 17 Semanas Tratados;10;100 ug/kg;4,592,353,535;1,214,464,628;4,478,515,451;1,812,724,835;3
739;SHR 17 Semanas Tratados;10;100 ug/kg;461,206;118,190,148;3,837,491,097;1,259,079,076;4
740;SHR 17 Semanas Tratados;10;100 ug/kg;488,687;119,128,534;3,599,979,243;1,028,245,406;5
741;SHR 17 Semanas Tratados;10;100 ug/kg;514,593;1,220,604,605;3,472,532,637;0.920075458;6
742;SHR 17 Semanas Tratados;10;100 ug/kg;536,048;1,231,190,321;3,441,505,091;0.871095367;7
743;SHR 17 Semanas Tratados;10;100 ug/kg;5,528,555,556;1,239,360,444;3,391,159,138;0.843746136;8
744;SHR 17 Semanas Tratados;10;100 ug/kg;568,592;1,215,699,164;3,379,555,091;0.823551845;9
745;SHR 17 Semanas Tratados;10;100 ug/kg;5,906,181,818;118,739,481;3,287,153,786;0.820191163;10
746;SHR 17 Semanas Tratados;10;100 ug/kg;6,045,143,729;1,133,580,304;3,384,369,191;0.81386369;11
747;SHR 17 Semanas Tratados;10;100 ug/kg;622,889,899;112,688,089;3,253,884,595;0.819026305;12
748;SHR 17 Semanas Tratados;10;100 ug/kg;636,905;110,228,373;3,311,473,238;0.815672528;13
749;SHR 17 Semanas Tratados;10;100 ug/kg;650,547;1,079,392,089;3,330,377,285;0.813905908;14
750;SHR 17 Semanas Tratados;10;100 ug/kg;673,602;1,095,556,857;3,353,094,256;0.810757385;15
751;SHR 17 Semanas Tratados;11;PBS;7,288,228,333;9,434,830,528;3,291,862,794;0.664995228;1
752;SHR 17 Semanas Tratados;11;PBS;7,404,654,672;9,341,085,383;3,332,797,389;0.680637398;2
753;SHR 17 Semanas Tratados;11;PBS;7,570,000,417;916,714,384;329,739,282;0.675861062;3
754;SHR 17 Semanas Tratados;11;PBS;7,571,989,899;9,318,324,113;3,319,418,407;0.678849133;4
755;SHR 17 Semanas Tratados;11;PBS;749,602;9,178,500,569;3,296,027,285;0.685722352;5
756;SHR 17 Semanas Tratados;11;PBS;748,098;9,433,766,344;3,299,892,559;0.689578892;6
757;SHR 17 Semanas Tratados;11;PBS;7,461,070,707;9,698,583,975;3,300,267,363;0.678310179;7
758;SHR 17 Semanas Tratados;11;PBS;7,463,994,228;9,766,261,062;3,325,389,295;0.686032222;8
759;SHR 17 Semanas Tratados;11;PBS;743,978;9,628,752,878;3,325,879,243;0.684318093;9
760;SHR 17 Semanas Tratados;11;PBS;7,287,334,464;8,645,151,201;3,331,133,551;0.689749503;10
761;SHR 17 Semanas Tratados;11;PBS;7,369,165,306;9,457,683,089;3,346,932,637;0.690325217;11
762;SHR 17 Semanas Tratados;11;PBS;736,493;9,615,206,733;3,330,040,731;0.694892004;12
763;SHR 17 Semanas Tratados;11;PBS;7,378,507,997;974,373,022;3,323,626,893;0.696066874;13
764;SHR 17 Semanas Tratados;11;PBS;734,619;9,645,299,237;3,339,259,661;0.69453404;14
765;SHR 17 Semanas Tratados;11;PBS;734,362;9,559,779,358;3,332,640,339;0.69356336;15
766;SHR 17 Semanas Tratados;11;3 ug/kg;636,067;1,022,588,309;3,308,774,674;0.706708888;1
767;SHR 17 Semanas Tratados;11;3 ug/kg;6,805,777,778;9,232,366,596;3,345,162,663;0.705837349;2
768;SHR 17 Semanas Tratados;11;3 ug/kg;695,482;9,384,100,607;3,305,655,222;0.70730031;3
769;SHR 17 Semanas Tratados;11;3 ug/kg;72,203;9,051,397,068;3,306,314,752;0.70684349;4
770;SHR 17 Semanas Tratados;11;3 ug/kg;747,712;8,849,345,497;3,316,973,499;0.700909721;5
771;SHR 17 Semanas Tratados;11;3 ug/kg;785,284;8,826,340,367;3,302,148,303;0.703372889;6
772;SHR 17 Semanas Tratados;11;3 ug/kg;8,016,616,042;8,547,254,341;3,335,724,674;0.702617149;7
773;SHR 17 Semanas Tratados;11;3 ug/kg;8,202,014,099;8,778,600,898;3,266,455,091;0.717357027;8
774;SHR 17 Semanas Tratados;11;3 ug/kg;835,062;8,959,897,386;3,322,871,279;0.706543644;9
775;SHR 17 Semanas Tratados;11;3 ug/kg;841,206;8,964,381,011;3,314,914,491;0.708912152;10
776;SHR 17 Semanas Tratados;11;3 ug/kg;849,797;8,768,177,823;3,319,904,569;0.710958436;11
777;SHR 17 Semanas Tratados;11;3 ug/kg;861,723;866,026,895;3,265,154,178;0.723508726;12
778;SHR 17 Semanas Tratados;11;3 ug/kg;870,828;8,520,671,724;3,360,175,979;0.702532466;13
779;SHR 17 Semanas Tratados;11;3 ug/kg;870,404;847,133,967;333,775,705;0.709885893;14
780;SHR 17 Semanas Tratados;11;3 ug/kg;8,857,393,939;8,625,920,101;329,691,906;0.71348565;15
781;SHR 17 Semanas Tratados;11;10 ug/kg;6,185,952,101;1,163,753,559;343,922,141;0.859643537;1
782;SHR 17 Semanas Tratados;11;10 ug/kg;625,513;1,205,745,133;3,401,243,995;0.819558559;2
783;SHR 17 Semanas Tratados;11;10 ug/kg;6,251,980,455;9,898,934,097;3,393,061,097;0.773121785;3
784;SHR 17 Semanas Tratados;11;10 ug/kg;66,439;1,079,630,637;3,363,802,742;0.75058706;4
785;SHR 17 Semanas Tratados;11;10 ug/kg;6,833,852,974;9,258,087,658;3,366,186,815;0.734991747;5
786;SHR 17 Semanas Tratados;11;10 ug/kg;721,953,125;1,005,444,574;3,311,007,833;0.743570374;6
787;SHR 17 Semanas Tratados;11;10 ug/kg;737,514;100,703,114;3,337,582,637;0.725691603;7
788;SHR 17 Semanas Tratados;11;10 ug/kg;754,802;999,852,302;3,357,676,893;0.732203852;8
789;SHR 17 Semanas Tratados;11;10 ug/kg;759,658;9,592,047,967;3,343,215,535;0.724570429;9
790;SHR 17 Semanas Tratados;11;10 ug/kg;775,146;1,003,300,336;3,332,970,366;0.739165714;10
791;SHR 17 Semanas Tratados;11;10 ug/kg;7,827,050,505;9,683,323,912;3,350,953,264;0.724719236;11
792;SHR 17 Semanas Tratados;11;10 ug/kg;79,166;9,366,212,326;3,316,721,279;0.739319883;12
793;SHR 17 Semanas Tratados;11;10 ug/kg;8,015,424,242;9,735,514,524;3,337,659,791;0.729741972;13
794;SHR 17 Semanas Tratados;11;10 ug/kg;8,132,808,081;947,124,086;3,364,142,167;0.720615371;14
795;SHR 17 Semanas Tratados;11;10 ug/kg;814,964;930,484,033;3,279,639,295;0.735335082;15
796;SHR 17 Semanas Tratados;11;30 ug/kg;5,498,488;1,249,646,672;381,644,114;1,836,492,909;1
797;SHR 17 Semanas Tratados;11;30 ug/kg;5,152,122,887;1,100,700,432;4,280,232,625;1,662,225,059;2
798;SHR 17 Semanas Tratados;11;30 ug/kg;533,916;1,157,143,188;3,715,879,896;10,615,957;3
799;SHR 17 Semanas Tratados;11;30 ug/kg;5,647,777,778;1,175,438,733;352,578,107;0.896999987;4
800;SHR 17 Semanas Tratados;11;30 ug/kg;58,554,263;1,104,998,875;3,482,824,413;0.816064764;5
801;SHR 17 Semanas Tratados;11;30 ug/kg;596,039;1,099,520,749;3,426,861,358;0.78112966;6
802;SHR 17 Semanas Tratados;11;30 ug/kg;609,756;1,083,083,965;3,431,163,838;0.767806849;7
803;SHR 17 Semanas Tratados;11;30 ug/kg;608,927,551;1,030,950,485;3,410,788,903;0.762314456;8
804;SHR 17 Semanas Tratados;11;30 ug/kg;623,929;9,975,336,282;3,371,010,052;0.763196151;9
805;SHR 17 Semanas Tratados;11;30 ug/kg;6,258,850,168;1,005,180,382;3,411,711,227;0.753991369;10
806;SHR 17 Semanas Tratados;11;30 ug/kg;6,359,050,505;1,018,401,863;3,370,819,974;0.753376817;11
807;SHR 17 Semanas Tratados;11;30 ug/kg;638,646;9,757,364,214;3,391,775,065;0.755161352;12
808;SHR 17 Semanas Tratados;11;30 ug/kg;649,494;101,968,779;3,376,461,488;0.747302185;13
809;SHR 17 Semanas Tratados;11;30 ug/kg;650,902;1,001,281,633;3,397,053,003;0.751932247;14
810;SHR 17 Semanas Tratados;11;30 ug/kg;666,084;103,213,782;3,349,003,786;0.747867098;15
811;SHR 17 Semanas Tratados;11;100 ug/kg;4,966,724,181;1,104,103,313;4,681,631,602;331,090,568;1
812;SHR 17 Semanas Tratados;11;100 ug/kg;4,446,087,059;9,131,143,988;5,467,620,744;2,838,273,052;2
813;SHR 17 Semanas Tratados;11;100 ug/kg;454,337;9,822,345,752;4,827,428,185;1,925,118,703;3
814;SHR 17 Semanas Tratados;11;100 ug/kg;469,571;9,816,889,517;4,216,642,089;1,407,797,143;4
815;SHR 17 Semanas Tratados;11;100 ug/kg;484,475;9,497,898,585;3,932,370,366;1,156,307,626;5
816;SHR 17 Semanas Tratados;11;100 ug/kg;4,936,333,333;9,760,175,538;3,804,592,298;1,018,509,016;6
817;SHR 17 Semanas Tratados;11;100 ug/kg;503,328;9,472,456,518;3,739,815,535;0.944333278;7
818;SHR 17 Semanas Tratados;11;100 ug/kg;514,746;9,614,437,105;3,715,190,209;0.904569923;8
819;SHR 17 Semanas Tratados;11;100 ug/kg;5,226,836,735;987,535,156;3,673,613,316;0.881748331;9
820;SHR 17 Semanas Tratados;11;100 ug/kg;533,929;9,749,567,957;3,688,783,029;0.86833986;10
821;SHR 17 Semanas Tratados;11;100 ug/kg;540,728;9,455,715,078;3,661,020,366;0.857739057;11
822;SHR 17 Semanas Tratados;11;100 ug/kg;554,303;9,317,818,648;3,585,834,073;0.858163745;12
823;SHR 17 Semanas Tratados;11;100 ug/kg;563,029;9,238,245,526;3,639,703,003;0.843933818;13
824;SHR 17 Semanas Tratados;11;100 ug/kg;5,720,272,727;9,040,314,675;3,589,817,493;0.843319297;14
825;SHR 17 Semanas Tratados;11;100 ug/kg;5,855,222,222;9,392,634,278;3,534,928,721;0.846770322;15
826;SHR 17 Semanas Tratados;12;PBS;6,482,264,821;1,252,531,182;3,076,944,648;0.626849498;1
827;SHR 17 Semanas Tratados;12;PBS;677,988;120,911,397;305,472,859;0.62856619;2
828;SHR 17 Semanas Tratados;12;PBS;6,938,392,222;1,112,632,822;3,023,756,919;0.638938435;3
829;SHR 17 Semanas Tratados;12;PBS;715,866;1,169,846,949;3,007,650,522;0.641733396;4
830;SHR 17 Semanas Tratados;12;PBS;723,849;118,469,948;3,031,955,352;0.633391335;5
831;SHR 17 Semanas Tratados;12;PBS;7,407,727,273;1,162,359,299;3,030,574,674;0.645734038;6
832;SHR 17 Semanas Tratados;12;PBS;745,275;114,436,262;3,022,000,783;0.642946976;7
833;SHR 17 Semanas Tratados;12;PBS;759,251;1,124,781,186;3,016,645,561;0.641009545;8
834;SHR 17 Semanas Tratados;12;PBS;772,834;1,125,391,166;3,018,325,587;0.64387672;9
835;SHR 17 Semanas Tratados;12;PBS;780,971;1,137,647,158;3,015,837,598;0.65084677;10
836;SHR 17 Semanas Tratados;12;PBS;78,505;1,126,329,827;3,025,311,358;0.644211144;11
837;SHR 17 Semanas Tratados;12;PBS;785,929;1,095,460,858;297,353,799;0.641655964;12
838;SHR 17 Semanas Tratados;12;PBS;796,552;1,107,257,039;3,037,825,196;0.650169714;13
839;SHR 17 Semanas Tratados;12;PBS;794,849;1,091,096,608;2,998,869,191;0.644765131;14
840;SHR 17 Semanas Tratados;12;PBS;78,843,925;1,002,708,496;3,042,782,115;0.649978408;15
841;SHR 17 Semanas Tratados;12;3 ug/kg;7,024,540,426;1,053,154,358;3,015,490,601;0.659086023;1
842;SHR 17 Semanas Tratados;12;3 ug/kg;75,392,066;9,023,920,219;3,026,572,063;0.635350679;2
843;SHR 17 Semanas Tratados;12;3 ug/kg;7,986,188,625;1,010,194,686;3,003,695,561;0.639937232;3
844;SHR 17 Semanas Tratados;12;3 ug/kg;8,275,266,579;9,489,272,672;2,982,398,303;0.66222717;4
845;SHR 17 Semanas Tratados;12;3 ug/kg;876,734;9,666,353,623;302,836,893;0.65078788;5
846;SHR 17 Semanas Tratados;12;3 ug/kg;927,053;1,016,111,915;3,011,537,859;0.64902424;6
847;SHR 17 Semanas Tratados;12;3 ug/kg;967,067;9,814,164,064;3,033,459,791;0.652593545;7
848;SHR 17 Semanas Tratados;12;3 ug/kg;999,011;9,534,680,758;3,046,638,251;0.652814256;8
849;SHR 17 Semanas Tratados;12;3 ug/kg;1,027,406;9,651,105,324;3,073,024,282;0.649075708;9
850;SHR 17 Semanas Tratados;12;3 ug/kg;1,042,891;9,878,085,949;3,069,489,426;0.656434167;10
851;SHR 17 Semanas Tratados;12;3 ug/kg;1,063,504;9,622,747,452;3,020,047,128;0.665415489;11
852;SHR 17 Semanas Tratados;12;3 ug/kg;108,087;981,906,016;3,052,015,927;0.656358441;12
853;SHR 17 Semanas Tratados;12;3 ug/kg;1,092,017,172;9,484,678,627;3,025,350,914;0.667077764;13
854;SHR 17 Semanas Tratados;12;3 ug/kg;1,099,899;9,961,601,581;3,067,005,091;0.659339249;14
855;SHR 17 Semanas Tratados;12;3 ug/kg;1,117,289;9,939,155,798;2,998,966,449;0.668962176;15
856;SHR 17 Semanas Tratados;12;10 ug/kg;656,653;1,244,576,862;3,152,208,616;0.724408272;1
857;SHR 17 Semanas Tratados;12;10 ug/kg;6,539,095,081;1,095,261,683;3,089,949,217;0.717312972;2
858;SHR 17 Semanas Tratados;12;10 ug/kg;6,826,867,045;9,779,423,677;3,059,874,021;0.685794332;3
859;SHR 17 Semanas Tratados;12;10 ug/kg;704,405;1,044,860,586;3,023,542,689;0.688883393;4
860;SHR 17 Semanas Tratados;12;10 ug/kg;73,418;1,025,718,314;3,046,557,572;0.669688524;5
861;SHR 17 Semanas Tratados;12;10 ug/kg;764,255;100,241,672;3,071,172,585;0.663233495;6
862;SHR 17 Semanas Tratados;12;10 ug/kg;792,801;9,720,638,618;3,073,577,546;0.663868894;7
863;SHR 17 Semanas Tratados;12;10 ug/kg;8,251,777,778;9,767,553,697;3,076,029,634;0.664615817;8
864;SHR 17 Semanas Tratados;12;10 ug/kg;837,392;9,480,284,559;3,080,273,499;0.670484881;9
865;SHR 17 Semanas Tratados;12;10 ug/kg;8,690,565,657;9,248,963,335;3,039,549,217;0.682255094;10
866;SHR 17 Semanas Tratados;12;10 ug/kg;887,826;9,392,283,919;3,076,741,906;0.669431033;11
867;SHR 17 Semanas Tratados;12;10 ug/kg;919,183;9,613,361,919;3,033,946,606;0.679050698;12
868;SHR 17 Semanas Tratados;12;10 ug/kg;935,666;9,227,377,712;3,047,639,295;0.683286763;13
869;SHR 17 Semanas Tratados;12;10 ug/kg;95,371;925,580,544;3,030,741,514;0.67668103;14
870;SHR 17 Semanas Tratados;12;10 ug/kg;969,604;934,950,276;3,074,819,452;0.669451795;15
871;SHR 17 Semanas Tratados;12;30 ug/kg;5,651,133,245;1,270,349,421;3,333,393,629;1,257,319,514;1
872;SHR 17 Semanas Tratados;12;30 ug/kg;5,280,491,498;8,813,935,051;3,518,784,935;1,207,487,278;2
873;SHR 17 Semanas Tratados;12;30 ug/kg;575,796;1,320,808,537;3,212,250,131;0.847926328;3
874;SHR 17 Semanas Tratados;12;30 ug/kg;60,930,259;120,597,266;315,045;0.750454489;4
875;SHR 17 Semanas Tratados;12;30 ug/kg;61,585;1,147,069,587;3,107,411,358;0.725799509;5
876;SHR 17 Semanas Tratados;12;30 ug/kg;6,248,528,158;1,098,374,043;3,057,903,133;0.71224047;6
877;SHR 17 Semanas Tratados;12;30 ug/kg;644,582;1,068,823,647;3,070,448,956;0.699850354;7
878;SHR 17 Semanas Tratados;12;30 ug/kg;667,114;1,075,691,453;3,081,668,016;0.686503113;8
879;SHR 17 Semanas Tratados;12;30 ug/kg;676,776;105,474,972;3,062,666,841;0.69784234;9
880;SHR 17 Semanas Tratados;12;30 ug/kg;6,941,939,394;1,090,941,054;3,091,750,522;0.684848397;10
881;SHR 17 Semanas Tratados;12;30 ug/kg;7,025,214,595;1,016,326,206;3,046,793,342;0.69583193;11
882;SHR 17 Semanas Tratados;12;30 ug/kg;716,685,755;1,058,084,886;306,606,201;0.689511609;12
883;SHR 17 Semanas Tratados;12;30 ug/kg;737,781;1,101,796,583;3,082,980,418;0.687087275;13
884;SHR 17 Semanas Tratados;12;30 ug/kg;7,537,523,342;1,006,293,861;3,033,067,755;0.70026534;14
885;SHR 17 Semanas Tratados;12;30 ug/kg;7,685,523,846;101,858,118;3,056,341,123;0.696257817;15
886;SHR 17 Semanas Tratados;12;100 ug/kg;4,058,161,284;707,857,443;4,182,288,197;2,792,604,239;1
887;SHR 17 Semanas Tratados;12;100 ug/kg;3,947,125,416;630,339,047;5,170,010,066;2,524,614,365;2
888;SHR 17 Semanas Tratados;12;100 ug/kg;4,069,984,286;992,996,696;4,325,923,982;1,727,807,112;3
889;SHR 17 Semanas Tratados;12;100 ug/kg;413,506,402;9,700,017,734;3,758,847,898;1,222,459,884;4
890;SHR 17 Semanas Tratados;12;100 ug/kg;447,936;1,133,869,691;3,454,357,572;0.969662155;5
891;SHR 17 Semanas Tratados;12;100 ug/kg;4,782,944,543;1,168,806,382;3,390,546,606;0.859076547;6
892;SHR 17 Semanas Tratados;12;100 ug/kg;486,535;1,144,692,058;3,284,521,932;0.799970263;7
893;SHR 17 Semanas Tratados;12;100 ug/kg;50,201;1,144,662,938;3,254,380,287;0.779380057;8
