Time(s), Pressure(mmHg), Action Number
6.58,97.90,0
6.60,86.77,0
6.62,81.37,0
6.64,80.64,0
6.66,79.17,0
6.68,75.88,0
6.70,72.42,0
6.72,69.90,0
6.74,68.94,0
6.76,77.12,0
6.78,97.19,0
6.80,101.35,0
6.82,90.93,0
6.84,82.74,0
6.86,81.09,0
6.88,80.10,0
6.90,78.86,0
6.92,75.08,0
6.94,71.60,0
6.96,69.27,0
6.98,71.42,0
7.00,90.88,0
7.02,101.77,0
7.04,95.12,0
7.06,89.12,0
7.08,82.29,0
7.10,81.25,0
7.12,79.94,0
7.14,76.70,0
7.16,73.01,0
7.18,70.25,0
7.20,69.16,0
7.22,74.27,0
7.24,94.14,0
7.26,101.14,0
7.28,92.27,0
7.30,83.24,0
7.32,81.22,0
7.34,80.46,0
7.36,77.86,0
7.38,76.03,0
7.40,72.56,0
7.42,70.07,0
7.44,71.03,0
7.46,89.96,0
7.48,102.58,0
7.50,96.92,0
7.52,85.64,0
7.54,82.94,0
7.56,81.73,0
7.58,80.44,0
7.60,77.16,0
7.62,73.45,0
7.64,70.77,0
7.66,69.28,0
7.68,82.83,0
7.70,93.24,0
7.72,102.00,0
7.74,94.00,0
7.76,84.26,0
7.78,81.77,0
7.80,80.96,0
7.82,78.41,0
7.84,74.60,0
7.86,72.83,0
7.88,70.39,0
7.90,70.65,0
7.92,88.19,0
7.94,101.70,0
7.96,97.19,0
7.98,86.22,0
8.00,83.33,0
8.02,81.91,0
8.04,80.87,0
8.06,77.92,0
8.08,74.20,0
8.10,71.40,0
8.12,69.73,0
8.14,83.29,0
8.16,101.33,0
8.18,103.42,0
8.20,95.27,0
8.22,85.22,0
8.24,82.53,0
8.26,81.62,0
8.28,79.06,0
8.30,75.35,0
8.32,72.14,0
8.34,70.91,0
8.36,70.74,0
8.38,87.73,0
8.40,101.59,0
8.42,97.48,0
8.44,86.48,0
8.46,82.29,0
8.48,81.54,0
8.50,80.78,0
8.52,77.80,0
8.54,74.16,0
8.56,71.45,0
8.58,69.95,0
8.60,83.12,0
8.62,100.43,0
8.64,102.40,0
8.66,94.51,0
8.68,84.88,0
8.70,82.46,0
8.72,81.70,0
8.74,79.17,0
8.76,75.46,0
8.78,72.28,0
8.80,71.03,0
8.82,71.26,0
8.84,89.70,0
8.86,103.37,0
8.88,98.73,0
8.90,87.50,0
8.92,83.37,0
8.94,82.62,0
8.96,81.85,0
8.98,78.81,0
9.00,74.94,0
9.02,72.06,0
9.04,70.49,0
9.06,83.56,0
9.08,100.60,0
9.10,100.03,0
9.12,94.60,0
9.14,85.10,0
9.16,82.68,0
9.18,81.73,0
9.20,79.18,0
9.22,75.59,0
9.24,72.56,0
9.26,70.47,0
9.28,72.20,0
9.30,90.60,0
9.32,102.77,0
9.34,97.15,0
9.36,86.62,0
9.38,83.27,0
9.40,82.57,0
9.42,80.35,0
9.44,78.56,0
9.46,74.71,0
9.48,71.86,0
9.50,70.89,0
9.52,86.77,0
9.54,103.13,0
9.56,100.82,0
9.58,89.25,0
9.60,85.74,0
9.62,83.82,0
9.64,82.90,0
9.66,79.93,0
9.68,76.03,0
9.70,72.97,0
9.72,71.00,0
9.74,81.88,0
9.76,92.30,0
9.78,102.80,0
9.80,96.06,0
9.82,86.12,0
9.84,83.31,0
9.86,82.46,0
9.88,80.13,0
9.90,76.47,0
9.92,74.73,0
9.94,72.06,0
9.96,72.31,0
9.98,89.96,0
10.00,103.06,0
10.02,98.16,0
10.04,87.52,0
10.06,83.95,0
10.08,83.61,0
10.10,82.38,0
10.12,79.15,0
10.14,75.29,0
10.16,72.42,0
10.18,71.25,0
10.20,86.94,0
10.22,103.37,0
10.24,104.33,0
10.26,95.05,0
10.28,86.19,0
10.30,84.36,0
10.32,83.29,0
10.34,80.32,0
10.36,76.42,0
10.38,73.33,0
10.40,72.12,0
10.42,74.24,0
10.44,93.09,0
10.46,102.78,0
10.48,95.63,0
10.50,86.08,0
10.52,83.47,0
10.54,82.71,0
10.56,81.74,0
10.58,78.44,0
10.60,74.85,0
10.62,72.23,0
10.64,73.07,0
10.66,91.40,0
10.68,103.32,0
10.70,97.43,0
10.72,91.59,0
10.74,84.88,0
10.76,83.78,0
10.78,82.32,0
10.84,72.23,0
10.86,71.10,0
10.88,78.88,0
10.90,99.22,0
10.92,103.67,0
10.94,93.53,0
10.96,85.83,0
10.98,84.45,0
11.00,83.16,0
11.02,81.79,0
11.04,78.03,0
11.06,74.52,0
11.08,72.04,0
11.10,76.55,0
11.12,95.80,0
11.14,102.49,0
11.16,93.64,0
11.18,88.49,0
11.20,83.97,0
11.22,83.29,0
11.24,81.48,0
11.26,77.99,0
11.28,74.54,0
11.30,72.05,0
11.32,75.37,0
11.34,84.77,0
11.36,101.76,0
11.38,100.84,0
11.40,89.87,0
11.42,84.71,0
11.44,83.78,0
11.46,81.95,0
11.48,78.42,0
11.50,76.49,0
11.52,73.18,0
11.54,71.26,0
11.56,82.74,0
11.58,101.40,0
11.60,102.60,0
11.62,91.81,0
11.64,85.67,0
11.66,84.94,0
11.68,84.04,0
11.70,81.43,0
11.72,77.53,0
11.74,74.25,0
11.76,72.07,0
11.78,81.04,0
11.80,99.30,0
11.82,102.75,0
11.84,96.86,0
11.86,86.96,0
11.88,84.14,0
11.90,83.38,0
11.92,81.04,0
11.94,77.38,0
11.96,74.16,0
11.98,72.92,0
12.00,73.18,0
12.02,90.83,0
12.04,103.63,0
12.06,98.41,0
12.10,88.09,0
12.12,84.36,0
12.14,81.51,0
12.18,75.75,0
12.20,72.88,0
12.22,72.48,0
12.24,89.24,0
12.26,103.96,0
12.28,100.39,0
12.30,94.62,0
12.32,-1.56,0
12.38,79.98,0
12.40,77.99,0
12.42,74.72,0
12.44,72.54,0
12.46,81.62,0
12.48,99.70,0
12.50,101.64,0
12.52,91.36,0
12.54,85.27,0
12.56,84.58,0
12.58,83.73,0
12.60,81.34,0
12.62,77.68,0
12.64,74.47,0
12.66,72.33,0
12.68,81.35,0
12.70,100.33,0
12.72,104.02,0
12.74,98.24,0
12.76,88.20,0
12.78,85.07,0
12.80,84.14,0
12.82,81.68,0
12.84,77.71,0
12.86,74.36,0
12.88,73.14,0
12.90,73.25,0
12.92,90.96,0
12.94,104.48,0
