Time(s), Pressure(mmHg), Action Number
212.49,84.14,0
212.51,93.61,0
212.53,104.51,0
212.55,99.81,0
212.57,91.68,0
212.59,89.31,0
212.61,87.95,0
212.63,85.10,0
212.65,81.36,0
212.67,79.64,0
212.69,76.93,0
212.71,82.83,0
212.73,98.96,0
212.75,102.18,0
212.77,93.91,0
212.79,88.80,0
212.81,87.65,0
212.83,86.94,0
212.85,84.40,0
212.87,80.89,0
212.89,77.74,0
212.91,76.75,0
212.93,90.71,0
212.95,103.19,0
212.97,99.86,0
212.99,95.09,0
213.01,89.37,0
213.03,87.97,0
213.05,86.17,0
213.07,82.93,0
213.09,79.15,0
213.11,76.27,0
213.13,79.99,0
213.15,88.76,0
213.17,103.13,0
213.19,101.69,0
213.21,92.82,0
213.23,89.29,0
213.25,88.10,0
213.27,85.73,0
213.29,82.11,0
213.31,80.28,0
213.33,77.29,0
213.35,79.23,0
213.37,95.43,0
213.39,102.80,0
213.41,96.15,0
213.43,89.26,0
213.45,87.68,0
213.47,87.16,0
213.49,85.06,0
213.51,81.68,0
213.53,78.33,0
213.55,76.14,0
213.57,85.82,0
213.59,101.37,0
213.61,101.81,0
213.63,97.41,0
213.65,90.04,0
213.67,88.21,0
213.69,86.75,0
213.71,83.82,0
213.73,80.13,0
213.75,76.94,0
213.77,77.14,0
213.79,84.04,0
213.81,98.84,0
213.87,89.39,0
213.89,88.84,0
213.91,87.34,0
213.93,84.37,0
213.95,80.66,0
213.97,77.53,0
213.99,78.18,0
214.01,93.87,0
214.03,103.06,0
214.05,101.62,0
214.07,92.98,0
214.09,88.49,0
214.11,87.37,0
214.13,85.48,0
214.15,82.20,0
214.17,78.77,0
214.19,76.30,0
214.21,77.59,0
214.23,93.31,0
214.25,103.61,0
214.27,98.54,0
214.29,90.65,0
214.31,88.44,0
214.33,87.18,0
214.35,84.38,0
214.37,82.53,0
214.39,78.97,0
214.41,76.26,0
214.43,82.61,0
214.45,100.39,0
214.47,104.41,0
214.49,95.78,0
214.51,90.03,0
214.53,89.23,0
214.55,88.05,0
214.57,85.36,0
214.59,81.67,0
214.61,78.35,0
214.63,77.02,0
214.65,90.11,0
214.67,102.81,0
214.69,103.17,0
214.71,95.37,0
214.73,89.43,0
214.75,87.99,0
214.77,86.26,0
214.79,83.23,0
214.81,79.75,0
214.83,76.90,0
214.85,76.63,0
214.87,89.21,0
214.89,102.92,0
214.91,100.97,0
214.93,92.29,0
214.95,88.98,0
214.97,87.82,0
214.99,85.46,0
215.01,83.76,0
215.03,80.03,0
215.05,77.03,0
215.07,79.57,0
215.09,97.18,0
215.15,91.04,0
215.17,89.80,0
215.19,88.56,0
215.21,86.27,0
215.23,82.63,0
215.25,79.14,0
215.27,76.87,0
215.29,86.47,0
215.31,101.75,0
215.33,103.94,0
215.35,97.93,0
215.37,90.63,0
215.39,88.63,0
215.41,87.05,0
215.43,84.12,0
215.45,80.64,0
215.47,77.65,0
215.49,76.66,0
215.51,85.33,0
215.53,101.39,0
215.55,102.87,0
215.57,94.22,0
215.59,89.65,0
215.61,88.42,0
215.63,86.37,0
215.65,84.79,0
215.67,81.17,0
215.69,77.91,0
215.71,77.81,0
215.73,93.93,0
215.75,105.28,0
215.77,100.80,0
215.79,92.47,0
215.81,90.59,0
215.83,89.09,0
215.85,87.04,0
215.87,83.67,0
215.89,80.04,0
215.91,77.26,0
215.93,82.70,0
215.95,99.70,0
215.97,103.98,0
215.99,100.81,0
216.01,92.44,0
216.03,89.52,0
216.05,88.14,0
216.07,85.41,0
216.09,81.71,0
216.11,80.04,0
216.13,77.35,0
216.15,81.92,0
216.17,99.07,0
216.19,104.39,0
216.21,96.72,0
216.23,90.70,0
216.25,89.23,0
216.27,88.51,0
216.29,85.97,0
216.31,82.38,0
216.33,79.07,0
216.35,77.32,0
216.37,90.10,0
216.39,104.68,0
216.41,103.10,0
216.47,89.33,0
216.49,88.33,0
216.51,85.31,0
216.53,81.65,0
216.55,78.49,0
216.57,78.28,0
216.59,93.66,0
216.61,104.71,0
216.63,100.37,0
216.65,95.74,0
216.67,90.62,0
216.69,89.21,0
216.71,87.08,0
216.73,83.61,0
216.75,79.93,0
216.77,77.35,0
216.79,83.52,0
216.81,92.54,0
216.83,104.23,0
216.85,100.51,0
216.87,92.38,0
216.89,89.74,0
216.91,88.40,0
216.93,85.73,0
216.95,82.10,0
216.97,80.37,0
216.99,77.62,0
217.01,82.91,0
217.03,100.56,0
217.05,105.52,0
217.07,97.46,0
217.09,91.27,0
217.11,89.81,0
217.13,89.00,0
217.15,86.11,0
217.17,82.31,0
217.19,79.00,0
217.21,77.40,0
217.23,89.79,0
217.25,104.08,0
217.27,102.74,0
217.29,98.14,0
217.31,91.59,0
217.33,89.89,0
217.35,88.06,0
217.37,84.81,0
217.39,81.08,0
217.41,78.02,0
217.43,80.51,0
217.45,88.51,0
217.47,102.99,0
217.49,102.24,0
217.51,93.65,0
217.53,90.00,0
217.55,88.76,0
217.57,86.42,0
217.59,82.91,0
217.61,81.13,0
217.63,78.13,0
217.65,80.08,0
217.67,97.38,0
217.69,105.68,0
217.71,99.19,0
217.73,91.92,0
217.75,89.81,0
217.77,89.12,0
217.79,86.74,0
217.81,82.99,0
217.83,79.39,0
217.85,77.08,0
217.87,86.07,0
217.89,102.38,0
217.91,104.02,0
217.93,99.93,0
217.95,92.25,0
217.97,90.02,0
217.99,88.46,0
218.01,85.48,0
218.03,81.71,0
218.05,78.49,0
218.07,78.38,0
218.09,84.49,0
218.11,100.55,0
218.13,102.97,0
218.15,94.61,0
218.17,89.84,0
218.19,88.60,0
218.21,86.61,0
218.23,83.30,0
218.25,81.49,0
218.27,78.34,0
218.29,78.01,0
218.31,93.40,0
218.33,104.98,0
218.35,100.58,0
218.37,92.27,0
218.39,89.71,0
218.41,89.07,0
218.43,86.86,0
218.45,83.51,0
218.47,79.77,0
218.49,76.88,0
218.51,81.98,0
218.53,99.65,0
218.55,104.83,0
218.57,101.73,0
218.59,93.20,0
218.61,90.10,0
218.63,88.74,0
218.65,86.11,0
218.67,82.41,0
218.69,79.00,0
218.71,77.37,0
218.73,81.21,0
218.75,97.68,0
218.77,103.47,0
218.79,96.24,0
218.81,90.16,0
218.83,88.68,0
218.85,87.01,0
218.87,85.62,0
218.89,82.12,0
218.91,78.81,0
218.93,77.00,0
218.95,88.82,0
218.97,103.45,0
218.99,102.34,0
219.01,93.37,0
219.03,89.72,0
219.05,89.14,0
219.07,87.40,0
219.09,84.06,0
219.11,80.41,0
219.13,77.34,0
219.15,78.70,0
219.17,95.79,0
219.19,105.09,0
219.21,103.54,0
219.23,94.70,0
219.25,90.34,0
219.29,88.14,0
219.31,83.24,0
219.33,79.68,0
219.35,78.21,0
219.37,78.47,0
219.39,93.71,0
219.41,103.18,0
219.43,97.94,0
219.45,90.55,0
219.47,88.50,0
219.49,87.15,0
219.51,84.42,0
219.53,82.66,0
219.55,79.21,0
219.57,76.70,0
219.59,84.00,0
219.61,100.67,0
219.63,103.24,0
219.65,94.65,0
219.67,89.57,0
219.69,88.84,0
219.71,87.47,0
219.73,84.68,0
219.75,80.79,0
219.77,77.62,0
219.79,76.72,0
219.81,91.17,0
219.83,99.54,0
219.85,104.38,0
219.87,96.41,0
219.89,90.46,0
219.91,89.07,0
219.93,87.25,0
219.95,83.90,0
219.97,80.23,0
219.99,78.65,0
220.01,77.06,0
220.03,89.24,0
220.05,102.23,0
220.07,99.91,0
220.09,91.43,0
220.11,88.43,0
220.13,87.33,0
220.15,86.34,0
220.17,83.30,0
220.19,79.77,0
220.21,76.92,0
220.23,79.88,0
220.25,96.96,0
220.27,103.74,0
220.29,96.55,0
220.31,92.38,0
220.33,88.86,0
220.35,87.64,0
220.37,85.27,0
220.39,81.69,0
220.41,78.09,0
220.43,75.91,0
220.45,86.31,0
220.47,95.65,0
220.49,104.47,0
220.51,98.38,0
220.53,90.95,0
220.55,88.97,0
220.57,87.52,0
220.59,84.55,0
220.61,80.80,0
220.63,79.11,0
220.65,76.62,0
220.67,84.46,0
220.69,100.11,0
220.71,101.73,0
220.73,93.14,0
220.75,88.48,0
220.77,87.43,0
220.79,86.70,0
220.81,84.03,0
220.83,80.48,0
220.85,77.39,0
220.87,77.22,0
220.89,92.45,0
220.91,103.40,0
220.93,98.84,0
220.95,94.13,0
220.97,89.04,0
220.99,87.89,0
221.01,85.93,0
221.03,82.53,0
221.05,78.94,0
221.07,76.09,0
221.09,81.49,0
221.11,90.86,0
221.13,104.01,0
221.15,100.78,0
221.17,91.98,0
221.19,89.06,0
221.21,87.86,0
221.23,85.30,0
221.25,81.62,0
221.27,79.85,0
221.29,76.93,0
221.31,80.37,0
221.33,96.99,0
221.35,102.81,0
221.37,95.41,0
221.39,89.12,0
221.41,87.55,0
221.43,86.99,0
221.45,84.77,0
221.47,81.34,0
221.49,78.04,0
221.51,76.18,0
221.53,87.65,0
221.55,102.08,0
221.57,101.00,0
221.59,96.39,0
221.61,89.64,0
221.63,88.05,0
221.65,86.57,0
221.67,83.52,0
221.69,79.79,0
221.71,76.78,0
221.73,78.31,0
221.75,86.09,0
221.77,102.37,0
221.79,103.08,0
221.81,93.84,0
221.83,89.36,0
221.85,88.23,0
221.87,86.11,0
221.89,82.55,0
221.91,80.70,0
221.93,77.58,0
221.95,77.84,0
221.97,93.27,0
221.99,103.15,0
222.01,98.02,0
222.03,90.25,0
222.05,87.96,0
222.07,87.38,0
222.09,85.42,0
222.11,82.24,0
222.13,78.84,0
222.15,76.25,0
222.17,83.09,0
222.19,99.74,0
222.21,102.71,0
222.23,98.95,0
222.25,90.80,0
222.27,88.34,0
222.29,87.13,0
222.31,84.54,0
222.33,80.88,0
222.35,77.57,0
222.37,76.59,0
222.39,81.90,0
222.41,99.62,0
222.43,104.48,0
222.45,96.35,0
222.47,90.12,0
222.49,88.63,0
222.51,86.87,0
222.53,83.62,0
222.55,81.71,0
222.57,78.35,0
222.59,76.71,0
222.61,88.92,0
222.63,102.65,0
222.65,100.97,0
222.67,92.28,0
222.69,88.83,0
222.71,88.25,0
222.73,86.52,0
222.75,83.38,0
222.77,79.92,0
222.79,77.09,0
222.81,79.53,0
222.83,96.52,0
222.85,104.01,0
222.87,101.82,0
222.89,93.06,0
222.91,89.25,0
222.93,88.09,0
222.95,85.83,0
222.97,82.34,0
222.99,78.89,0
223.01,76.52,0
223.03,78.76,0
223.05,96.03,0
223.07,105.30,0
223.09,99.34,0
223.11,91.65,0
223.13,89.39,0
223.15,87.75,0
223.17,81.12,0
223.23,76.83,0
223.25,87.56,0
223.27,102.51,0
223.29,104.29,0
223.31,97.86,0
223.33,90.86,0
223.35,88.96,0
223.37,87.33,0
223.39,84.23,0
223.41,80.51,0
223.43,77.63,0
223.45,76.80,0
223.47,86.35,0
223.49,101.95,0
223.51,102.71,0
223.53,94.04,0
223.55,89.75,0
223.57,88.54,0
223.59,86.36,0
223.61,84.73,0
223.63,81.10,0
223.65,78.04,0
223.67,78.44,0
223.69,94.92,0
223.71,105.40,0
223.73,100.16,0
223.75,92.05,0
223.77,90.44,0
223.79,89.01,0
223.81,86.70,0
223.83,83.22,0
223.85,79.72,0
223.87,77.04,0
223.89,83.47,0
223.91,100.31,0
223.93,104.13,0
223.95,100.22,0
223.97,92.05,0
223.99,89.40,0
224.01,87.98,0
224.03,85.20,0
224.05,81.48,0
224.07,78.17,0
224.09,77.03,0
224.11,82.39,0
224.13,99.20,0
224.15,103.55,0
224.17,95.64,0
224.19,90.01,0
224.21,88.65,0
224.23,86.84,0
224.25,85.36,0
224.27,81.79,0
224.29,78.53,0
224.31,77.23,0
224.33,90.87,0
224.35,104.46,0
224.37,102.06,0
224.39,93.17,0
224.41,90.80,0
224.43,89.29,0
224.45,87.40,0
224.47,83.94,0
224.49,80.21,0
224.51,77.40,0
224.53,80.35,0
224.55,97.60,0
224.57,103.39,0
224.59,102.57,0
224.61,93.83,0
224.63,90.11,0
224.65,88.81,0
224.67,86.36,0
224.69,82.72,0
224.71,80.89,0
224.73,77.82,0
224.75,79.74,0
224.77,96.26,0
224.79,104.10,0
224.81,97.72,0
224.83,90.87,0
224.85,89.10,0
224.89,87.54,0
224.95,77.28,0
224.97,89.98,0
224.99,98.85,0
225.01,105.24,0
225.03,97.81,0
225.05,91.24,0
225.07,89.43,0
225.09,87.65,0
225.11,84.35,0
225.13,80.49,0
225.15,78.84,0
225.17,76.83,0
225.19,87.66,0
225.21,103.08,0
225.23,103.25,0
225.25,94.52,0
225.27,90.43,0
225.29,89.12,0
225.31,88.13,0
225.33,85.03,0
225.35,81.28,0
225.37,78.20,0
225.39,79.15,0
225.41,94.95,0
225.43,103.74,0
225.45,98.07,0
225.47,93.72,0
225.49,89.56,0
225.51,88.38,0
225.53,86.24,0
225.55,82.85,0
225.57,79.43,0
225.59,77.04,0
225.61,85.82,0
225.63,95.13,0
225.65,104.99,0
225.67,99.44,0
225.69,91.67,0
225.71,89.50,0
225.73,87.84,0
225.75,84.86,0
225.77,81.15,0
225.79,79.38,0
225.81,76.65,0
225.83,83.57,0
225.85,100.81,0
225.87,104.33,0
225.89,96.05,0
225.91,90.72,0
225.93,89.34,0
225.95,88.52,0
225.97,85.72,0
225.99,82.00,0
226.01,78.70,0
226.03,77.65,0
226.05,91.06,0
226.07,102.91,0
226.09,99.81,0
226.11,95.29,0
226.13,89.83,0
226.15,88.49,0
226.17,86.71,0
226.19,83.54,0
226.21,80.02,0
226.23,77.26,0
226.25,81.76,0
226.27,90.61,0
226.29,103.83,0
226.31,101.28,0
226.33,92.61,0
226.35,89.48,0
226.37,88.17,0
226.39,85.47,0
226.41,81.73,0
226.43,79.99,0
226.45,77.05,0
226.47,80.15,0
226.49,97.68,0
226.51,104.89,0
226.53,97.95,0
226.55,91.22,0
226.57,89.53,0
226.59,88.86,0
226.61,86.38,0
226.63,82.73,0
226.65,79.29,0
226.67,77.12,0
226.69,87.18,0
226.71,101.48,0
226.73,100.98,0
226.75,96.66,0
226.77,90.02,0
226.79,88.36,0
226.81,86.86,0
226.83,83.95,0
226.85,80.41,0
226.87,77.45,0
226.89,78.89,0
226.91,86.39,0
226.93,101.90,0
226.95,102.33,0
226.97,93.55,0
226.99,89.36,0
227.01,88.09,0
227.03,85.85,0
227.05,82.27,0
227.07,80.32,0
227.09,77.25,0
227.11,77.65,0
227.13,93.78,0
227.15,104.54,0
227.17,99.86,0
227.19,91.88,0
227.21,89.49,0
227.23,88.94,0
227.25,86.88,0
227.27,83.40,0
227.29,79.78,0
227.31,77.10,0
227.33,83.07,0
227.35,99.20,0
227.37,102.84,0
227.39,98.78,0
227.41,90.78,0
227.43,88.39,0
227.45,87.20,0
227.47,84.61,0
227.49,81.07,0
227.51,77.91,0
227.53,77.03,0
227.55,82.18,0
227.57,99.13,0
227.59,103.34,0
227.61,95.22,0
227.63,89.62,0
227.65,88.28,0
227.67,86.38,0
227.69,83.10,0
227.71,81.23,0
227.73,77.77,0
227.75,76.28,0
227.77,89.62,0
227.79,103.56,0
227.81,101.57,0
227.83,92.82,0
227.85,89.50,0
227.87,88.94,0
227.89,87.23,0
227.91,84.05,0
227.93,80.32,0
227.95,77.34,0
227.97,79.73,0
227.99,96.07,0
228.01,101.61,0
228.03,100.72,0
228.05,92.13,0
228.07,88.42,0
228.09,87.37,0
228.11,85.23,0
228.13,81.78,0
228.15,78.44,0
228.17,77.10,0
228.19,79.07,0
228.21,95.79,0
228.23,103.66,0
228.25,97.14,0
228.27,90.10,0
228.29,88.36,0
228.31,86.89,0
228.33,85.54,0
228.35,81.98,0
228.37,78.50,0
228.39,76.04,0
228.41,85.23,0
228.43,101.95,0
228.45,103.43,0
228.47,94.38,0
228.49,91.18,0
228.51,89.03,0
228.53,87.67,0
228.55,84.76,0
228.57,81.04,0
228.59,77.86,0
228.61,77.73,0
228.63,92.69,0
228.65,99.84,0
228.67,102.21,0
228.69,93.76,0
228.71,88.77,0
228.73,87.47,0
228.75,85.68,0
228.77,82.48,0
228.79,79.02,0
228.81,77.57,0
228.83,77.07,0
228.85,91.81,0
228.87,103.31,0
228.89,99.31,0
228.91,91.11,0
228.93,88.54,0
228.95,87.31,0
228.97,86.21,0
228.99,82.90,0
229.01,79.24,0
229.03,76.44,0
229.05,81.65,0
229.07,99.34,0
229.09,104.63,0
229.11,96.56,0
229.13,92.51,0
229.15,89.31,0
229.17,88.15,0
229.19,85.59,0
229.21,81.86,0
229.23,78.51,0
229.25,76.85,0
229.27,89.01,0
229.29,97.42,0
229.31,103.45,0
229.33,96.14,0
229.35,89.80,0
229.37,88.23,0
229.39,86.48,0
229.41,83.42,0
229.43,79.96,0
229.45,78.42,0
229.47,76.58,0
229.49,88.23,0
229.51,102.57,0
229.53,101.49,0
229.55,92.77,0
229.57,89.17,0
229.59,88.00,0
229.61,87.04,0
229.63,83.99,0
229.65,80.33,0
229.67,77.24,0
229.69,79.16,0
229.71,96.61,0
229.73,105.07,0
229.75,98.84,0
229.77,94.30,0
229.79,89.88,0
229.81,88.54,0
229.83,86.30,0
229.85,82.76,0
229.87,79.20,0
229.89,76.80,0
229.91,85.33,0
229.93,94.32,0
229.95,103.81,0
229.97,98.49,0
229.99,90.89,0
230.01,88.66,0
230.03,87.18,0
230.05,84.22,0
230.07,80.64,0
230.09,79.05,0
230.11,76.64,0
230.13,84.42,0
230.15,100.66,0
230.17,102.86,0
230.19,94.36,0
230.21,89.51,0
230.23,88.30,0
230.25,87.50,0
230.27,84.73,0
230.29,81.12,0
230.31,77.95,0
230.33,77.53,0
230.35,93.14,0
230.37,104.93,0
230.39,100.65,0
230.41,95.85,0
230.43,90.40,0
230.45,88.87,0
230.47,86.77,0
230.49,83.39,0
230.51,79.82,0
230.53,77.01,0
230.55,77.24,0
230.57,91.23,0
230.59,103.72,0
230.61,100.70,0
230.63,92.31,0
230.65,89.35,0
230.67,87.99,0
230.69,85.34,0
230.71,81.59,0
230.73,79.79,0
230.75,77.11,0
230.77,81.55,0
230.79,98.53,0
230.81,103.90,0
230.83,96.36,0
230.85,90.32,0
230.87,88.83,0
230.89,88.14,0
230.91,85.64,0
230.93,82.06,0
230.95,78.74,0
230.97,77.12,0
230.99,89.83,0
231.01,104.15,0
231.03,102.57,0
231.05,97.79,0
231.07,91.02,0
231.09,89.35,0
231.11,87.43,0
231.13,84.07,0
231.15,80.40,0
231.17,77.52,0
231.19,79.77,0
231.21,87.77,0
231.23,102.74,0
231.25,102.44,0
231.27,93.71,0
231.29,89.81,0
231.31,88.49,0
231.33,86.09,0
231.35,82.49,0
231.37,80.63,0
231.39,77.50,0
231.41,79.04,0
231.43,95.33,0
231.45,103.71,0
231.47,97.72,0
231.49,90.61,0
231.51,88.72,0
231.53,88.12,0
231.55,85.95,0
231.57,82.53,0
231.59,79.09,0
231.61,76.76,0
231.63,86.10,0
231.65,102.34,0
231.67,104.95,0
231.69,99.25,0
231.71,91.53,0
231.73,89.21,0
231.75,87.73,0
231.77,84.64,0
231.79,80.76,0
231.81,77.63,0
231.83,77.65,0
231.85,83.98,0
231.87,100.84,0
231.89,103.89,0
231.91,95.55,0
231.93,90.32,0
231.95,88.96,0
231.97,86.90,0
231.99,83.43,0
232.01,81.54,0
232.03,78.28,0
232.05,77.46,0
232.07,91.55,0
232.09,103.18,0
232.11,99.59,0
232.13,91.51,0
232.15,88.86,0
232.17,88.32,0
232.19,86.49,0
232.21,83.26,0
232.23,79.73,0
232.25,76.99,0
232.27,82.28,0
232.29,99.73,0
232.31,104.39,0
232.33,101.04,0
232.35,92.43,0
232.37,89.44,0
232.39,87.91,0
232.41,85.31,0
232.43,81.54,0
232.45,78.06,0
232.47,76.44,0
232.49,80.45,0
232.51,97.95,0
232.53,104.47,0
232.55,97.32,0
232.57,90.79,0
232.59,89.09,0
232.61,87.36,0
232.63,84.14,0
232.65,82.24,0
232.67,78.82,0
232.69,76.82,0
232.71,87.52,0
232.73,101.50,0
232.75,100.75,0
232.77,92.30,0
232.79,88.71,0
232.81,88.16,0
232.83,86.62,0
232.85,83.68,0
232.87,80.13,0
232.89,77.19,0
232.91,79.14,0
232.93,96.10,0
232.95,104.25,0
232.97,102.27,0
232.99,93.31,0
233.01,89.21,0
233.03,87.99,0
233.05,85.55,0
233.07,81.97,0
233.09,78.51,0
233.11,75.97,0
233.13,77.66,0
233.15,94.20,0
233.17,104.41,0
233.19,99.24,0
233.21,91.45,0
233.23,89.21,0
233.25,87.75,0
233.27,86.48,0
233.29,82.98,0
233.31,79.41,0
233.33,76.77,0
233.35,83.62,0
233.37,99.42,0
233.39,101.83,0
233.41,93.65,0
233.43,90.44,0
233.45,88.14,0
233.47,86.87,0
233.49,84.25,0
233.51,80.71,0
233.57,91.84,0
233.59,99.64,0
233.61,103.21,0
233.63,94.90,0
233.65,89.39,0
233.67,88.02,0
233.69,86.12,0
233.71,82.66,0
233.73,78.97,0
233.75,77.50,0
233.77,76.23,0
233.79,89.92,0
233.81,103.48,0
233.83,101.29,0
233.85,92.59,0
233.87,89.34,0
233.89,88.13,0
233.91,87.07,0
233.93,83.77,0
233.95,80.08,0
233.97,77.16,0
233.99,80.19,0
234.01,96.49,0
234.03,102.57,0
234.05,95.33,0
234.07,91.42,0
234.09,88.18,0
234.11,87.09,0
234.13,84.80,0
234.15,81.34,0
234.17,78.07,0
234.19,76.16,0
234.21,87.39,0
234.23,96.22,0
234.25,103.47,0
234.27,96.59,0
234.29,89.75,0
234.31,88.03,0
234.33,86.44,0
234.35,83.40,0
234.37,79.62,0
234.39,77.89,0
234.41,75.71,0
234.43,85.84,0
234.45,101.75,0
234.47,102.52,0
234.49,93.70,0
234.51,89.31,0
234.53,88.11,0
234.55,87.26,0
234.57,84.31,0
234.59,80.57,0
234.61,77.43,0
234.63,77.75,0
234.65,93.01,0
234.67,102.52,0
234.69,97.27,0
234.71,92.78,0
234.73,88.16,0
234.75,87.11,0
234.77,85.25,0
234.79,81.94,0
234.81,78.52,0
234.83,76.03,0
234.85,83.37,0
234.87,92.47,0
234.89,103.11,0
234.91,98.39,0
234.93,90.36,0
234.95,88.04,0
234.97,86.79,0
234.99,84.01,0
235.01,80.34,0
235.03,78.63,0
235.05,69.31,0
235.11,102.71,0
235.13,98.37,0
235.15,90.60,0
235.17,88.59,0
235.19,87.19,0
235.21,84.30,0
235.23,80.59,0
235.25,77.42,0
235.27,77.49,0
235.29,83.76,0
235.31,99.60,0
235.33,101.61,0
235.35,93.10,0
235.37,88.28,0
235.39,87.08,0
235.41,85.29,0
235.43,82.07,0
235.45,80.26,0
235.47,77.17,0
235.49,76.98,0
235.51,92.15,0
235.53,103.06,0
235.55,98.58,0
235.57,90.49,0
235.59,88.08,0
235.61,87.60,0
235.63,85.77,0
235.65,82.38,0
235.67,78.77,0
235.69,76.04,0
235.71,81.68,0
235.73,99.44,0
235.75,104.14,0
235.77,100.73,0
235.79,91.85,0
235.81,88.86,0
235.83,87.71,0
235.85,85.13,0
235.87,81.44,0
235.89,78.12,0
235.91,76.58,0
235.93,80.65,0
235.95,97.32,0
235.97,102.82,0
235.99,95.28,0
236.01,89.11,0
236.03,87.61,0
236.05,85.93,0
236.09,79.46,0
236.11,77.92,0
236.13,76.21,0
236.15,88.25,0
236.17,102.20,0
236.19,100.71,0
236.21,91.98,0
236.23,88.50,0
236.25,87.99,0
236.27,86.45,0
236.29,83.46,0
236.31,79.74,0
236.33,76.70,0
236.35,79.13,0
236.37,96.63,0
236.39,104.63,0
236.41,102.60,0
236.43,93.53,0
236.45,89.28,0
236.47,88.05,0
236.49,85.84,0
236.51,82.26,0
236.53,78.76,0
236.55,77.36,0
236.57,78.49,0
236.59,94.60,0
236.61,103.38,0
236.63,97.59,0
236.65,90.19,0
236.67,88.15,0
236.69,86.62,0
236.71,83.68,0
236.73,81.96,0
236.75,78.65,0
236.77,76.30,0
236.79,84.80,0
236.81,100.76,0
236.83,102.33,0
236.85,93.72,0
236.87,89.10,0
236.89,88.45,0
236.91,87.11,0
236.93,84.34,0
236.95,80.75,0
236.97,77.57,0
236.99,77.50,0
237.01,93.57,0
237.03,104.79,0
237.05,104.03,0
237.07,95.41,0
237.09,90.07,0
237.11,88.60,0
237.13,86.52,0
237.15,83.17,0
237.17,79.59,0
237.19,76.84,0
237.21,77.26,0
237.23,91.59,0
237.25,103.60,0
237.27,100.20,0
237.29,91.92,0
237.31,89.10,0
237.33,87.75,0
237.35,85.04,0
237.37,83.21,0
237.39,79.62,0
237.41,76.99,0
237.43,82.01,0
237.45,98.98,0
237.47,103.80,0
237.49,96.04,0
237.51,90.20,0
237.53,89.32,0
237.55,88.07,0
237.57,85.51,0
237.59,81.91,0
237.61,78.64,0
237.63,77.14,0
237.65,90.43,0
237.67,99.19,0
237.69,105.19,0
237.71,97.44,0
237.73,91.00,0
237.75,89.32,0
237.77,87.35,0
237.79,84.01,0
237.81,80.40,0
237.83,78.85,0
237.85,76.93,0
237.87,88.43,0
237.89,102.92,0
237.91,102.05,0
237.93,93.41,0
237.95,89.71,0
237.97,88.39,0
237.99,87.37,0
238.01,84.20,0
238.03,80.46,0
238.05,77.44,0
238.07,79.66,0
238.09,96.24,0
238.11,103.84,0
238.13,97.42,0
238.15,93.22,0
238.17,89.41,0
238.19,88.20,0
238.21,85.95,0
238.23,82.48,0
238.25,79.06,0
238.27,76.90,0
238.29,87.25,0
238.31,96.49,0
238.33,105.15,0
238.35,98.94,0
238.37,91.45,0
238.39,89.41,0
238.41,87.82,0
238.43,84.59,0
238.45,80.76,0
238.47,79.10,0
238.49,76.77,0
238.51,85.36,0
238.53,101.70,0
238.55,103.59,0
238.57,95.04,0
238.59,90.33,0
238.61,88.99,0
238.63,88.10,0
238.65,85.13,0
238.67,81.40,0
238.69,78.18,0
238.71,78.07,0
238.73,93.22,0
238.75,103.62,0
238.77,98.95,0
238.79,94.47,0
238.81,89.69,0
238.83,88.44,0
238.85,86.45,0
238.87,83.14,0
238.89,79.64,0
238.91,77.04,0
238.93,84.04,0
238.95,93.36,0
238.97,104.73,0
238.99,100.33,0
239.01,92.14,0
239.03,89.51,0
239.05,87.95,0
239.07,85.17,0
239.09,81.31,0
239.11,79.52,0
239.13,76.77,0
239.15,82.18,0
239.17,99.51,0
239.19,104.35,0
239.21,96.54,0
239.23,90.70,0
239.25,89.19,0
239.27,88.42,0
239.29,85.76,0
239.31,82.06,0
239.33,78.71,0
239.35,77.22,0
239.37,89.65,0
239.39,102.40,0
239.41,100.09,0
239.43,95.58,0
239.45,89.74,0
239.47,88.31,0
239.49,86.61,0
239.51,83.51,0
239.53,79.99,0
239.55,77.16,0
239.57,81.02,0
239.59,89.72,0
239.61,103.53,0
239.63,101.52,0
239.65,92.70,0
239.67,89.41,0
239.73,81.92,0
239.75,80.11,0
239.77,77.00,0
239.79,79.08,0
239.81,96.31,0
239.83,104.65,0
239.85,98.33,0
239.87,91.26,0
239.89,89.37,0
239.91,88.72,0
239.93,86.39,0
239.95,82.81,0
239.97,79.30,0
239.99,76.96,0
240.01,86.01,0
240.03,100.84,0
240.05,101.38,0
240.07,97.23,0
240.09,90.27,0
240.11,88.40,0
240.13,86.99,0
240.15,84.15,0
240.17,80.60,0
240.19,77.59,0
240.21,78.26,0
240.23,85.23,0
240.25,101.38,0
240.27,102.89,0
240.29,94.17,0
240.31,89.53,0
240.33,88.29,0
240.35,86.12,0
240.37,82.43,0
240.39,80.59,0
240.41,77.49,0
240.43,76.99,0
240.45,92.25,0
240.47,104.22,0
240.49,100.51,0
240.51,92.21,0
240.53,89.56,0
240.55,89.01,0
240.57,87.02,0
240.59,83.61,0
240.61,79.96,0
240.63,77.17,0
240.65,81.51,0
240.67,97.75,0
240.69,102.44,0
240.71,99.27,0
240.73,91.11,0
240.75,88.34,0
240.77,87.17,0
240.79,84.74,0
240.81,81.25,0
