Experiment
----------
Name:	18-04-24 SHR sem trat 17 semanas
File name:	C:\Users\Wothan\Documents\My flexiVent data\18-04-24 SHR sem trat 17 semanas.exp
Operator:	Cida
Comment:	Default template for rat experiments.
 
Subjects
--------
 Subject  Name 	Weight	Gender	Strain	Group	Comment
 SHR  sem  trat  17  semanas 	 385  g 	male	 Rato  SHR 	 SHR  sem  trat  17  semanas 	
 
Perturbation:	Quick Prime-3 v5.2
 
 
Data
----
 
 Event  ID  -> 	11	11	12	12	20	20	20	20	20	21	21	21	21	21	22	22	22	22	22	23	23	23	23	23	24	24	24	24	24	25	25	25	25	25	26	26	26	26	26	27	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	30	31	31	31	31	31	32	32	32	32	32	-33	-33	-33	-33	-33	34	34	34	34	34	44	44	44	44	44	45	45	45	45	45	46	46	46	46	46	47	47	47	47	47	48	48	48	48	48	49	49	49	49	49	50	50	50	50	50	51	51	51	51	51	52	52	52	52	52	53	53	53	53	53	54	54	54	54	54	55	55	55	55	55	56	56	56	56	56	57	57	57	57	57	58	58	58	58	58	64	64	64	64	64	65	65	65	65	65	66	66	66	66	66	67	67	67	67	67	68	68	68	68	68	69	69	69	69	69	70	70	70	70	70	71	71	71	71	71	72	72	72	72	72	73	73	73	73	73	74	74	74	74	74	75	75	75	75	75	76	76	76	76	76	77	77	77	77	77	78	78	78	78	78	84	84	84	84	84	85	85	85	85	85	86	86	86	86	86	87	87	87	87	87	88	88	88	88	88	89	89	89	89	89	90	90	90	90	90	91	91	91	91	91	92	92	92	92	92	93	93	93	93	93	94	94	94	94	94	95	95	95	95	95	96	96	96	96	96	97	97	97	97	97	98	98	98	98	98	104	104	104	104	104	105	105	105	105	105	106	106	106	106	106	107	107	107	107	107	108	108	108	108	108	109	109	109	109	109	110	110	110	110	110	111	111	111	111	111	112	112	112	112	112	113	113	113	113	113	114	114	114	114	114	115	115	115	115	115	116	116	116	116	116	117	117	117	117	117	118	118	118	118	118	124	124	124	124	124	125	125	125	125	125	126	126	126	126	126	127	127	127	127	127	128	128	128	128	128	129	129	129	129	129	130	130	130	130	130	131	131	131	131	131	132	132	132	132	132	133	133	133	133	133	134	134	134	134	134	135	135	135	135	135	136	136	136	136	136	137	137	137	137	137	138	138	138	138	138
    	 4/24/2018  9:07:00  AM 	 4/24/2018  9:07:00  AM 	 4/24/2018  9:07:16  AM 	 4/24/2018  9:07:16  AM 	 4/24/2018  10:14:47  AM 	 4/24/2018  10:14:47  AM 	 4/24/2018  10:14:47  AM 	 4/24/2018  10:14:47  AM 	 4/24/2018  10:14:47  AM 	 4/24/2018  10:14:58  AM 	 4/24/2018  10:14:58  AM 	 4/24/2018  10:14:58  AM 	 4/24/2018  10:14:58  AM 	 4/24/2018  10:14:58  AM 	 4/24/2018  10:15:09  AM 	 4/24/2018  10:15:09  AM 	 4/24/2018  10:15:09  AM 	 4/24/2018  10:15:09  AM 	 4/24/2018  10:15:09  AM 	 4/24/2018  10:15:20  AM 	 4/24/2018  10:15:20  AM 	 4/24/2018  10:15:20  AM 	 4/24/2018  10:15:20  AM 	 4/24/2018  10:15:20  AM 	 4/24/2018  10:15:31  AM 	 4/24/2018  10:15:31  AM 	 4/24/2018  10:15:31  AM 	 4/24/2018  10:15:31  AM 	 4/24/2018  10:15:31  AM 	 4/24/2018  10:15:42  AM 	 4/24/2018  10:15:42  AM 	 4/24/2018  10:15:42  AM 	 4/24/2018  10:15:42  AM 	 4/24/2018  10:15:42  AM 	 4/24/2018  10:15:53  AM 	 4/24/2018  10:15:53  AM 	 4/24/2018  10:15:53  AM 	 4/24/2018  10:15:53  AM 	 4/24/2018  10:15:53  AM 	 4/24/2018  10:16:04  AM 	 4/24/2018  10:16:04  AM 	 4/24/2018  10:16:04  AM 	 4/24/2018  10:16:04  AM 	 4/24/2018  10:16:04  AM 	 4/24/2018  10:16:15  AM 	 4/24/2018  10:16:15  AM 	 4/24/2018  10:16:15  AM 	 4/24/2018  10:16:15  AM 	 4/24/2018  10:16:15  AM 	 4/24/2018  10:16:26  AM 	 4/24/2018  10:16:26  AM 	 4/24/2018  10:16:26  AM 	 4/24/2018  10:16:26  AM 	 4/24/2018  10:16:26  AM 	 4/24/2018  10:16:37  AM 	 4/24/2018  10:16:37  AM 	 4/24/2018  10:16:37  AM 	 4/24/2018  10:16:37  AM 	 4/24/2018  10:16:37  AM 	 4/24/2018  10:16:48  AM 	 4/24/2018  10:16:48  AM 	 4/24/2018  10:16:48  AM 	 4/24/2018  10:16:48  AM 	 4/24/2018  10:16:48  AM 	 4/24/2018  10:16:59  AM 	 4/24/2018  10:16:59  AM 	 4/24/2018  10:16:59  AM 	 4/24/2018  10:16:59  AM 	 4/24/2018  10:16:59  AM 	 4/24/2018  10:17:10  AM 	 4/24/2018  10:17:10  AM 	 4/24/2018  10:17:10  AM 	 4/24/2018  10:17:10  AM 	 4/24/2018  10:17:10  AM 	 4/24/2018  10:17:21  AM 	 4/24/2018  10:17:21  AM 	 4/24/2018  10:17:21  AM 	 4/24/2018  10:17:21  AM 	 4/24/2018  10:17:21  AM 	 4/24/2018  10:22:48  AM 	 4/24/2018  10:22:48  AM 	 4/24/2018  10:22:48  AM 	 4/24/2018  10:22:48  AM 	 4/24/2018  10:22:48  AM 	 4/24/2018  10:22:59  AM 	 4/24/2018  10:22:59  AM 	 4/24/2018  10:22:59  AM 	 4/24/2018  10:22:59  AM 	 4/24/2018  10:22:59  AM 	 4/24/2018  10:23:10  AM 	 4/24/2018  10:23:10  AM 	 4/24/2018  10:23:10  AM 	 4/24/2018  10:23:10  AM 	 4/24/2018  10:23:10  AM 	 4/24/2018  10:23:21  AM 	 4/24/2018  10:23:21  AM 	 4/24/2018  10:23:21  AM 	 4/24/2018  10:23:21  AM 	 4/24/2018  10:23:21  AM 	 4/24/2018  10:23:32  AM 	 4/24/2018  10:23:32  AM 	 4/24/2018  10:23:32  AM 	 4/24/2018  10:23:32  AM 	 4/24/2018  10:23:32  AM 	 4/24/2018  10:23:43  AM 	 4/24/2018  10:23:43  AM 	 4/24/2018  10:23:43  AM 	 4/24/2018  10:23:43  AM 	 4/24/2018  10:23:43  AM 	 4/24/2018  10:23:54  AM 	 4/24/2018  10:23:54  AM 	 4/24/2018  10:23:54  AM 	 4/24/2018  10:23:54  AM 	 4/24/2018  10:23:54  AM 	 4/24/2018  10:24:05  AM 	 4/24/2018  10:24:05  AM 	 4/24/2018  10:24:05  AM 	 4/24/2018  10:24:05  AM 	 4/24/2018  10:24:05  AM 	 4/24/2018  10:24:16  AM 	 4/24/2018  10:24:16  AM 	 4/24/2018  10:24:16  AM 	 4/24/2018  10:24:16  AM 	 4/24/2018  10:24:16  AM 	 4/24/2018  10:24:27  AM 	 4/24/2018  10:24:27  AM 	 4/24/2018  10:24:27  AM 	 4/24/2018  10:24:27  AM 	 4/24/2018  10:24:27  AM 	 4/24/2018  10:24:38  AM 	 4/24/2018  10:24:38  AM 	 4/24/2018  10:24:38  AM 	 4/24/2018  10:24:38  AM 	 4/24/2018  10:24:38  AM 	 4/24/2018  10:24:49  AM 	 4/24/2018  10:24:49  AM 	 4/24/2018  10:24:49  AM 	 4/24/2018  10:24:49  AM 	 4/24/2018  10:24:49  AM 	 4/24/2018  10:25:00  AM 	 4/24/2018  10:25:00  AM 	 4/24/2018  10:25:00  AM 	 4/24/2018  10:25:00  AM 	 4/24/2018  10:25:00  AM 	 4/24/2018  10:25:11  AM 	 4/24/2018  10:25:11  AM 	 4/24/2018  10:25:11  AM 	 4/24/2018  10:25:11  AM 	 4/24/2018  10:25:11  AM 	 4/24/2018  10:25:22  AM 	 4/24/2018  10:25:22  AM 	 4/24/2018  10:25:22  AM 	 4/24/2018  10:25:22  AM 	 4/24/2018  10:25:22  AM 	 4/24/2018  10:28:25  AM 	 4/24/2018  10:28:25  AM 	 4/24/2018  10:28:25  AM 	 4/24/2018  10:28:25  AM 	 4/24/2018  10:28:25  AM 	 4/24/2018  10:28:36  AM 	 4/24/2018  10:28:36  AM 	 4/24/2018  10:28:36  AM 	 4/24/2018  10:28:36  AM 	 4/24/2018  10:28:36  AM 	 4/24/2018  10:28:47  AM 	 4/24/2018  10:28:47  AM 	 4/24/2018  10:28:47  AM 	 4/24/2018  10:28:47  AM 	 4/24/2018  10:28:47  AM 	 4/24/2018  10:28:58  AM 	 4/24/2018  10:28:58  AM 	 4/24/2018  10:28:58  AM 	 4/24/2018  10:28:58  AM 	 4/24/2018  10:28:58  AM 	 4/24/2018  10:29:09  AM 	 4/24/2018  10:29:09  AM 	 4/24/2018  10:29:09  AM 	 4/24/2018  10:29:09  AM 	 4/24/2018  10:29:09  AM 	 4/24/2018  10:29:20  AM 	 4/24/2018  10:29:20  AM 	 4/24/2018  10:29:20  AM 	 4/24/2018  10:29:20  AM 	 4/24/2018  10:29:20  AM 	 4/24/2018  10:29:31  AM 	 4/24/2018  10:29:31  AM 	 4/24/2018  10:29:31  AM 	 4/24/2018  10:29:31  AM 	 4/24/2018  10:29:31  AM 	 4/24/2018  10:29:42  AM 	 4/24/2018  10:29:42  AM 	 4/24/2018  10:29:42  AM 	 4/24/2018  10:29:42  AM 	 4/24/2018  10:29:42  AM 	 4/24/2018  10:29:53  AM 	 4/24/2018  10:29:53  AM 	 4/24/2018  10:29:53  AM 	 4/24/2018  10:29:53  AM 	 4/24/2018  10:29:53  AM 	 4/24/2018  10:30:04  AM 	 4/24/2018  10:30:04  AM 	 4/24/2018  10:30:04  AM 	 4/24/2018  10:30:04  AM 	 4/24/2018  10:30:04  AM 	 4/24/2018  10:30:15  AM 	 4/24/2018  10:30:15  AM 	 4/24/2018  10:30:15  AM 	 4/24/2018  10:30:15  AM 	 4/24/2018  10:30:15  AM 	 4/24/2018  10:30:26  AM 	 4/24/2018  10:30:26  AM 	 4/24/2018  10:30:26  AM 	 4/24/2018  10:30:26  AM 	 4/24/2018  10:30:26  AM 	 4/24/2018  10:30:37  AM 	 4/24/2018  10:30:37  AM 	 4/24/2018  10:30:37  AM 	 4/24/2018  10:30:37  AM 	 4/24/2018  10:30:37  AM 	 4/24/2018  10:30:48  AM 	 4/24/2018  10:30:48  AM 	 4/24/2018  10:30:48  AM 	 4/24/2018  10:30:48  AM 	 4/24/2018  10:30:48  AM 	 4/24/2018  10:30:59  AM 	 4/24/2018  10:30:59  AM 	 4/24/2018  10:30:59  AM 	 4/24/2018  10:30:59  AM 	 4/24/2018  10:30:59  AM 	 4/24/2018  10:33:50  AM 	 4/24/2018  10:33:50  AM 	 4/24/2018  10:33:50  AM 	 4/24/2018  10:33:50  AM 	 4/24/2018  10:33:50  AM 	 4/24/2018  10:34:01  AM 	 4/24/2018  10:34:01  AM 	 4/24/2018  10:34:01  AM 	 4/24/2018  10:34:01  AM 	 4/24/2018  10:34:01  AM 	 4/24/2018  10:34:12  AM 	 4/24/2018  10:34:12  AM 	 4/24/2018  10:34:12  AM 	 4/24/2018  10:34:12  AM 	 4/24/2018  10:34:12  AM 	 4/24/2018  10:34:23  AM 	 4/24/2018  10:34:23  AM 	 4/24/2018  10:34:23  AM 	 4/24/2018  10:34:23  AM 	 4/24/2018  10:34:23  AM 	 4/24/2018  10:34:34  AM 	 4/24/2018  10:34:34  AM 	 4/24/2018  10:34:34  AM 	 4/24/2018  10:34:34  AM 	 4/24/2018  10:34:34  AM 	 4/24/2018  10:34:45  AM 	 4/24/2018  10:34:45  AM 	 4/24/2018  10:34:45  AM 	 4/24/2018  10:34:45  AM 	 4/24/2018  10:34:45  AM 	 4/24/2018  10:34:56  AM 	 4/24/2018  10:34:56  AM 	 4/24/2018  10:34:56  AM 	 4/24/2018  10:34:56  AM 	 4/24/2018  10:34:56  AM 	 4/24/2018  10:35:07  AM 	 4/24/2018  10:35:07  AM 	 4/24/2018  10:35:07  AM 	 4/24/2018  10:35:07  AM 	 4/24/2018  10:35:07  AM 	 4/24/2018  10:35:18  AM 	 4/24/2018  10:35:18  AM 	 4/24/2018  10:35:18  AM 	 4/24/2018  10:35:18  AM 	 4/24/2018  10:35:18  AM 	 4/24/2018  10:35:29  AM 	 4/24/2018  10:35:29  AM 	 4/24/2018  10:35:29  AM 	 4/24/2018  10:35:29  AM 	 4/24/2018  10:35:29  AM 	 4/24/2018  10:35:40  AM 	 4/24/2018  10:35:40  AM 	 4/24/2018  10:35:40  AM 	 4/24/2018  10:35:40  AM 	 4/24/2018  10:35:40  AM 	 4/24/2018  10:35:51  AM 	 4/24/2018  10:35:51  AM 	 4/24/2018  10:35:51  AM 	 4/24/2018  10:35:51  AM 	 4/24/2018  10:35:51  AM 	 4/24/2018  10:36:02  AM 	 4/24/2018  10:36:02  AM 	 4/24/2018  10:36:02  AM 	 4/24/2018  10:36:02  AM 	 4/24/2018  10:36:02  AM 	 4/24/2018  10:36:13  AM 	 4/24/2018  10:36:13  AM 	 4/24/2018  10:36:13  AM 	 4/24/2018  10:36:13  AM 	 4/24/2018  10:36:13  AM 	 4/24/2018  10:36:24  AM 	 4/24/2018  10:36:24  AM 	 4/24/2018  10:36:24  AM 	 4/24/2018  10:36:24  AM 	 4/24/2018  10:36:24  AM 	 4/24/2018  10:40:03  AM 	 4/24/2018  10:40:03  AM 	 4/24/2018  10:40:03  AM 	 4/24/2018  10:40:03  AM 	 4/24/2018  10:40:03  AM 	 4/24/2018  10:40:14  AM 	 4/24/2018  10:40:14  AM 	 4/24/2018  10:40:14  AM 	 4/24/2018  10:40:14  AM 	 4/24/2018  10:40:14  AM 	 4/24/2018  10:40:25  AM 	 4/24/2018  10:40:25  AM 	 4/24/2018  10:40:25  AM 	 4/24/2018  10:40:25  AM 	 4/24/2018  10:40:25  AM 	 4/24/2018  10:40:36  AM 	 4/24/2018  10:40:36  AM 	 4/24/2018  10:40:36  AM 	 4/24/2018  10:40:36  AM 	 4/24/2018  10:40:36  AM 	 4/24/2018  10:40:47  AM 	 4/24/2018  10:40:47  AM 	 4/24/2018  10:40:47  AM 	 4/24/2018  10:40:47  AM 	 4/24/2018  10:40:47  AM 	 4/24/2018  10:40:58  AM 	 4/24/2018  10:40:58  AM 	 4/24/2018  10:40:58  AM 	 4/24/2018  10:40:58  AM 	 4/24/2018  10:40:58  AM 	 4/24/2018  10:41:09  AM 	 4/24/2018  10:41:09  AM 	 4/24/2018  10:41:09  AM 	 4/24/2018  10:41:09  AM 	 4/24/2018  10:41:09  AM 	 4/24/2018  10:41:20  AM 	 4/24/2018  10:41:20  AM 	 4/24/2018  10:41:20  AM 	 4/24/2018  10:41:20  AM 	 4/24/2018  10:41:20  AM 	 4/24/2018  10:41:31  AM 	 4/24/2018  10:41:31  AM 	 4/24/2018  10:41:31  AM 	 4/24/2018  10:41:31  AM 	 4/24/2018  10:41:31  AM 	 4/24/2018  10:41:42  AM 	 4/24/2018  10:41:42  AM 	 4/24/2018  10:41:42  AM 	 4/24/2018  10:41:42  AM 	 4/24/2018  10:41:42  AM 	 4/24/2018  10:41:53  AM 	 4/24/2018  10:41:53  AM 	 4/24/2018  10:41:53  AM 	 4/24/2018  10:41:53  AM 	 4/24/2018  10:41:53  AM 	 4/24/2018  10:42:04  AM 	 4/24/2018  10:42:04  AM 	 4/24/2018  10:42:04  AM 	 4/24/2018  10:42:04  AM 	 4/24/2018  10:42:04  AM 	 4/24/2018  10:42:15  AM 	 4/24/2018  10:42:15  AM 	 4/24/2018  10:42:15  AM 	 4/24/2018  10:42:15  AM 	 4/24/2018  10:42:15  AM 	 4/24/2018  10:42:26  AM 	 4/24/2018  10:42:26  AM 	 4/24/2018  10:42:26  AM 	 4/24/2018  10:42:26  AM 	 4/24/2018  10:42:26  AM 	 4/24/2018  10:42:37  AM 	 4/24/2018  10:42:37  AM 	 4/24/2018  10:42:37  AM 	 4/24/2018  10:42:37  AM 	 4/24/2018  10:42:37  AM 	 4/24/2018  10:46:01  AM 	 4/24/2018  10:46:01  AM 	 4/24/2018  10:46:01  AM 	 4/24/2018  10:46:01  AM 	 4/24/2018  10:46:01  AM 	 4/24/2018  10:46:12  AM 	 4/24/2018  10:46:12  AM 	 4/24/2018  10:46:12  AM 	 4/24/2018  10:46:12  AM 	 4/24/2018  10:46:12  AM 	 4/24/2018  10:46:23  AM 	 4/24/2018  10:46:23  AM 	 4/24/2018  10:46:23  AM 	 4/24/2018  10:46:23  AM 	 4/24/2018  10:46:23  AM 	 4/24/2018  10:46:34  AM 	 4/24/2018  10:46:34  AM 	 4/24/2018  10:46:34  AM 	 4/24/2018  10:46:34  AM 	 4/24/2018  10:46:34  AM 	 4/24/2018  10:46:45  AM 	 4/24/2018  10:46:45  AM 	 4/24/2018  10:46:45  AM 	 4/24/2018  10:46:45  AM 	 4/24/2018  10:46:45  AM 	 4/24/2018  10:46:56  AM 	 4/24/2018  10:46:56  AM 	 4/24/2018  10:46:56  AM 	 4/24/2018  10:46:56  AM 	 4/24/2018  10:46:56  AM 	 4/24/2018  10:47:07  AM 	 4/24/2018  10:47:07  AM 	 4/24/2018  10:47:07  AM 	 4/24/2018  10:47:07  AM 	 4/24/2018  10:47:07  AM 	 4/24/2018  10:47:18  AM 	 4/24/2018  10:47:18  AM 	 4/24/2018  10:47:18  AM 	 4/24/2018  10:47:18  AM 	 4/24/2018  10:47:18  AM 	 4/24/2018  10:47:29  AM 	 4/24/2018  10:47:29  AM 	 4/24/2018  10:47:29  AM 	 4/24/2018  10:47:29  AM 	 4/24/2018  10:47:29  AM 	 4/24/2018  10:47:40  AM 	 4/24/2018  10:47:40  AM 	 4/24/2018  10:47:40  AM 	 4/24/2018  10:47:40  AM 	 4/24/2018  10:47:40  AM 	 4/24/2018  10:47:51  AM 	 4/24/2018  10:47:51  AM 	 4/24/2018  10:47:51  AM 	 4/24/2018  10:47:51  AM 	 4/24/2018  10:47:51  AM 	 4/24/2018  10:48:02  AM 	 4/24/2018  10:48:02  AM 	 4/24/2018  10:48:02  AM 	 4/24/2018  10:48:02  AM 	 4/24/2018  10:48:02  AM 	 4/24/2018  10:48:13  AM 	 4/24/2018  10:48:13  AM 	 4/24/2018  10:48:13  AM 	 4/24/2018  10:48:13  AM 	 4/24/2018  10:48:13  AM 	 4/24/2018  10:48:24  AM 	 4/24/2018  10:48:24  AM 	 4/24/2018  10:48:24  AM 	 4/24/2018  10:48:24  AM 	 4/24/2018  10:48:24  AM 	 4/24/2018  10:48:35  AM 	 4/24/2018  10:48:35  AM 	 4/24/2018  10:48:35  AM 	 4/24/2018  10:48:35  AM 	 4/24/2018  10:48:35  AM 
    	 Closed  tube  cal. 	 Closed  tube  cal. 	 Open  tube  cal. 	 Open  tube  cal. 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 
